timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,48.7900,48.8100,48.4600,48.5000,48.5000,1829321,0.0000,1.0000
2018-01-16,49.0200,49.1300,48.1950,48.4300,48.4300,2354466,0.0000,1.0000
2018-01-12,48.9300,49.0700,48.6700,48.8600,48.8600,2100967,0.0000,1.0000
2018-01-11,48.7200,48.9000,48.4000,48.4325,48.4325,457976,0.0000,1.0000
2018-01-10,48.9200,48.9600,48.5929,48.6600,48.6600,2172599,0.0000,1.0000
2018-01-09,49.6200,49.7150,48.9300,48.9700,48.9700,2551597,0.0000,1.0000
2018-01-08,49.4200,49.8600,49.3800,49.6400,49.6400,1951815,0.0000,1.0000
2018-01-05,49.7200,49.8300,49.2400,49.4200,49.4200,2240392,0.0000,1.0000
2018-01-04,49.5400,49.8470,49.4400,49.5700,49.5700,1733889,0.0000,1.0000
2018-01-03,49.4700,49.5500,49.2700,49.4600,49.4600,1647769,0.0000,1.0000
2018-01-02,49.4900,49.8100,49.1800,49.4200,49.4200,1837217,0.0000,1.0000
2017-12-29,49.4900,49.7600,49.2800,49.3000,49.3000,1338375,0.0000,1.0000
2017-12-28,49.1900,49.4800,49.0700,49.4500,49.4500,1334056,0.0000,1.0000
2017-12-27,49.4000,49.5700,49.1800,49.2100,49.2100,2052064,0.0000,1.0000
2017-12-26,49.0300,49.5000,49.0000,49.1400,49.1400,1662361,0.0000,1.0000
2017-12-22,48.7100,49.2500,48.6500,49.0900,49.0900,1367209,0.0000,1.0000
2017-12-21,49.0700,49.2700,48.4000,48.7000,48.7000,2675633,0.0000,1.0000
2017-12-20,49.3100,49.5800,48.4500,48.5100,48.5100,3077062,0.0000,1.0000
2017-12-19,49.4300,49.9400,49.3500,49.6600,49.6600,2611605,0.0000,1.0000
2017-12-18,49.0100,49.4500,48.8500,49.3800,49.3800,2490429,0.0000,1.0000
2017-12-15,48.6900,49.2900,48.5500,48.6800,48.6800,3952248,0.0000,1.0000
2017-12-14,48.2900,48.5200,47.9900,48.0300,48.0300,2805386,0.0000,1.0000
2017-12-13,47.6900,48.4400,47.5400,48.2500,48.2500,2957390,0.0000,1.0000
2017-12-12,47.8800,47.9900,47.5800,47.7100,47.7100,2269066,0.0000,1.0000
2017-12-11,47.7600,47.9900,47.4000,47.7700,47.7700,2029056,0.0000,1.0000
2017-12-08,48.0600,48.2800,47.7300,47.7900,47.7900,2368079,0.0000,1.0000
2017-12-07,47.5700,48.1350,47.5700,47.9600,47.9600,2984480,0.0000,1.0000
2017-12-06,48.1000,48.1100,47.4000,47.5800,47.5800,3218433,0.0000,1.0000
2017-12-05,48.1800,48.2800,47.6000,47.9900,47.9900,2554444,0.0000,1.0000
2017-12-04,47.9600,48.4700,47.8400,48.1200,48.1200,3106778,0.0000,1.0000
2017-12-01,48.1000,48.3200,47.0900,47.7400,47.7400,2300802,0.0000,1.0000
2017-11-30,47.4400,48.3700,47.2500,48.0500,48.0500,2438823,0.1600,1.0000
2017-11-29,47.1000,47.6825,46.9300,47.3400,47.1829,2706295,0.0000,1.0000
2017-11-28,46.7300,47.4350,46.4100,47.1600,47.0035,2629490,0.0000,1.0000
2017-11-27,45.5800,46.8700,45.4400,46.5600,46.4055,3057497,0.0000,1.0000
2017-11-24,45.5900,45.7100,45.2350,45.5700,45.4188,2628326,0.0000,1.0000
2017-11-22,45.1500,45.4600,45.0700,45.3100,45.1596,1597786,0.0000,1.0000
2017-11-21,45.1500,45.3600,44.9100,45.1400,44.9902,2093365,0.0000,1.0000
2017-11-20,45.6500,45.6500,44.9400,45.0100,44.8606,2117952,0.0000,1.0000
2017-11-17,45.4500,45.8300,45.2500,45.7200,45.5683,1469198,0.0000,1.0000
2017-11-16,45.0300,45.8300,44.9600,45.5800,45.4287,2396669,0.0000,1.0000
2017-11-15,44.8900,45.0800,44.5200,44.9500,44.8008,1976866,0.0000,1.0000
2017-11-14,44.9700,45.3300,44.7100,45.1000,44.9503,2521090,0.0000,1.0000
2017-11-13,44.3500,45.0800,44.2300,44.9800,44.8307,1431015,0.0000,1.0000
2017-11-10,44.5600,44.7300,44.2200,44.3500,44.2028,2285611,0.0000,1.0000
2017-11-09,44.5000,45.1400,44.4400,44.7700,44.6214,2779161,0.0000,1.0000
2017-11-08,43.8300,45.1900,43.8300,44.8000,44.6513,3904621,0.0000,1.0000
2017-11-07,43.7900,44.0100,43.4800,43.6100,43.4653,2442240,0.0000,1.0000
2017-11-06,44.1400,44.2772,43.7400,43.8100,43.6646,2847443,0.0000,1.0000
2017-11-03,43.7800,44.1700,43.6600,44.1400,43.9935,1086676,0.0000,1.0000
2017-11-02,43.8100,44.0000,43.3400,43.8900,43.7443,1261941,0.0000,1.0000
2017-11-01,44.3100,44.4900,43.8200,43.9600,43.8141,1795719,0.0000,1.0000
