timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,124.5200,126.9800,124.5200,125.8400,125.8400,671257,0.0000,1.0000
2018-01-16,124.0400,124.8090,123.6300,124.0100,124.0100,704898,0.0000,1.0000
2018-01-12,123.5200,123.8200,122.8000,123.4300,123.4300,617956,0.0000,1.0000
2018-01-11,124.4700,124.6500,122.8700,123.1500,123.1500,659018,0.0000,1.0000
2018-01-10,125.8200,126.2700,123.7800,124.1600,124.1600,1353600,0.0000,1.0000
2018-01-09,126.5200,127.4500,126.1600,126.7900,126.7900,1314300,0.0000,1.0000
2018-01-08,125.6200,126.7400,125.0600,126.6900,126.6900,1045000,0.0000,1.0000
2018-01-05,124.7100,125.6200,123.8900,125.5500,125.5500,663200,0.0000,1.0000
2018-01-04,123.8300,124.8600,123.3500,124.3900,124.3900,786600,0.0000,1.0000
2018-01-03,123.7500,123.9600,122.7100,123.4000,123.4000,1321100,0.0000,1.0000
2018-01-02,124.3800,124.5900,122.7800,123.7200,123.7200,872000,0.0000,1.0000
2017-12-29,124.7400,125.6800,124.2300,124.2400,124.2400,495400,0.0000,1.0000
2017-12-28,124.8800,124.9600,123.7900,124.8900,124.8900,493600,0.0000,1.0000
2017-12-27,125.2700,125.8400,124.3600,124.7900,124.7900,476800,0.0000,1.0000
2017-12-26,125.1000,126.0200,125.0200,125.2700,125.2700,479200,0.0000,1.0000
2017-12-22,124.5600,125.9500,124.2800,125.2200,125.2200,691600,0.0000,1.0000
2017-12-21,123.8500,124.6100,123.2400,123.9100,123.9100,959600,0.0000,1.0000
2017-12-20,121.5000,123.7000,120.5000,123.4200,123.4200,1123500,0.0000,1.0000
2017-12-19,121.0000,123.1900,120.8100,121.4700,121.4700,1327400,0.0000,1.0000
2017-12-18,120.0500,121.2300,119.5500,120.6100,120.6100,927800,0.0000,1.0000
2017-12-15,118.9300,120.1700,118.6000,119.4400,119.4400,1299200,0.0000,1.0000
2017-12-14,117.6900,118.9700,117.4400,118.5200,118.5200,1002200,0.0000,1.0000
2017-12-13,117.9300,118.8600,117.5900,118.1500,118.1500,579700,0.0000,1.0000
2017-12-12,117.8300,118.7500,117.3200,117.9500,117.9500,943900,0.0000,1.0000
2017-12-11,118.0600,118.8300,116.7900,117.2600,117.2600,1048400,0.0000,1.0000
2017-12-08,118.9300,118.9300,117.5200,118.6100,118.6100,713500,0.0000,1.0000
2017-12-07,118.4700,119.1900,117.9100,118.4700,118.4700,717100,0.0000,1.0000
2017-12-06,117.8400,119.3500,117.3500,118.9100,118.9100,755200,0.0000,1.0000
2017-12-05,119.4600,119.9300,117.2500,117.4600,117.4600,1387800,0.0000,1.0000
2017-12-04,116.1200,119.5300,115.7000,119.3900,119.3900,1446200,0.0000,1.0000
2017-12-01,116.6000,116.6000,114.3200,115.6100,115.6100,1154900,0.0000,1.0000
2017-11-30,117.9000,119.7200,115.8600,116.6700,116.6700,1382700,0.0000,1.0000
2017-11-29,114.8400,119.3200,114.8400,117.6600,117.6600,1508300,0.0000,1.0000
2017-11-28,113.1900,114.9800,112.4700,114.9300,114.9300,846600,0.0000,1.0000
2017-11-27,111.7400,113.2800,111.4900,113.2500,113.2500,708100,0.0000,1.0000
2017-11-24,113.2400,113.2700,111.1800,111.3700,111.3700,595500,0.0000,1.0000
2017-11-22,113.2900,113.2900,112.1900,112.7000,112.7000,694000,0.0000,1.0000
2017-11-21,114.0000,114.4300,113.0500,113.5400,113.5400,1098100,0.0000,1.0000
2017-11-20,114.5800,115.6900,113.6500,114.0100,114.0100,1474100,0.0000,1.0000
2017-11-17,116.0000,117.1300,113.2400,114.1900,114.1900,1418200,0.0000,1.0000
2017-11-16,111.2100,117.3000,109.6300,116.6500,116.6500,4204900,0.0000,1.0000
2017-11-15,108.1900,108.4000,106.2100,106.5100,106.5100,2113700,0.0000,1.0000
2017-11-14,106.3000,108.6200,105.8300,108.1900,108.1900,1322300,0.0000,1.0000
2017-11-13,105.2500,107.3400,104.2800,106.4900,106.4900,1515400,0.0000,1.0000
2017-11-10,102.2300,104.7200,102.2300,104.1200,104.1200,901100,0.0000,1.0000
2017-11-09,102.1700,102.9500,101.4200,102.6000,102.6000,1289400,0.0000,1.0000
