timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,165.7200,167.9600,164.6200,167.4000,167.4000,1683566,0.0000,1.0000
2018-01-16,165.9200,168.1000,164.9000,165.0400,165.0400,1448906,0.0000,1.0000
2018-01-12,165.0100,165.9700,164.3676,165.5100,165.5100,1238631,0.0000,1.0000
2018-01-11,165.2500,165.4900,164.0600,164.6100,164.6100,377348,0.0000,1.0000
2018-01-10,164.6800,165.1200,162.7700,164.9800,164.9800,1322069,0.0000,1.0000
2018-01-09,168.9100,169.4100,165.1300,165.5300,165.5300,1719732,0.0000,1.0000
2018-01-08,168.9600,170.1700,168.3400,169.2500,169.2500,1679671,0.0000,1.0000
2018-01-05,167.0500,168.3690,166.3700,168.1500,168.1500,2010684,0.0000,1.0000
2018-01-04,171.4900,171.4900,166.5400,166.6000,166.6000,2154821,0.0000,1.0000
2018-01-03,172.1000,172.6100,169.8500,171.6200,171.6200,1845909,0.0000,1.0000
2018-01-02,172.3400,173.0200,170.3400,172.4200,172.4200,1412764,0.0000,1.0000
2017-12-29,171.3200,172.3500,170.3600,171.7400,171.7400,1178081,0.0000,1.0000
2017-12-28,170.8400,171.4300,169.9200,171.1500,171.1500,993505,0.0000,1.0000
2017-12-27,169.8200,171.2500,169.1300,170.7700,170.7700,1496821,0.0000,1.0000
2017-12-26,167.2500,169.9900,166.6600,169.3600,169.3600,1100832,0.0000,1.0000
2017-12-22,164.4200,167.8100,164.0000,167.0700,167.0700,1990141,0.0000,1.0000
2017-12-21,164.5000,164.9200,163.8000,164.7000,164.7000,1027242,0.0000,1.0000
2017-12-20,167.8200,169.0000,163.9000,163.9800,163.9800,1653620,0.0000,1.0000
2017-12-19,169.8000,170.4700,167.2600,168.4200,168.4200,1561861,0.0000,1.0000
2017-12-18,167.9700,170.9300,167.9000,169.8200,169.8200,1673133,0.0000,1.0000
2017-12-15,166.8900,169.1100,166.2350,167.8100,167.8100,2853118,0.0000,1.0000
2017-12-14,166.5700,167.7800,165.2900,165.6300,165.6300,1330940,0.0000,1.0000
2017-12-13,166.7700,168.3400,165.2000,165.8300,165.8300,1829699,0.0000,1.0000
2017-12-12,166.0000,167.3000,163.4750,166.3500,166.3500,4134533,0.0000,1.0000
2017-12-11,162.3000,163.3300,161.6600,162.2600,162.2600,1113790,0.0000,1.0000
2017-12-08,161.8600,162.7400,160.7384,162.2500,162.2500,1366699,0.0000,1.0000
