timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,176.7800,177.3100,174.9500,176.7900,176.7900,1044443,0.0000,1.0000
2018-01-16,178.1100,178.6200,175.0800,175.8300,175.8300,840771,0.0000,1.0000
2018-01-12,176.9700,177.9400,175.9600,177.6400,177.6400,711200,0.0000,1.0000
2018-01-11,175.9500,176.4900,174.4800,174.9650,174.9650,176420,0.0000,1.0000
2018-01-10,177.3700,178.0400,175.0100,175.6100,175.6100,935692,0.0000,1.0000
2018-01-09,177.3300,178.5000,176.5300,177.2400,177.2400,906188,0.0000,1.0000
2018-01-08,175.5200,177.4400,175.1325,177.1800,177.1800,883782,0.0000,1.0000
2018-01-05,173.5800,175.7900,173.5800,175.7000,175.7000,688282,0.0000,1.0000
2018-01-04,171.3000,174.0100,171.2850,173.3800,173.3800,726545,0.0000,1.0000
2018-01-03,168.2600,171.1900,167.9500,170.8200,170.8200,808384,0.0000,1.0000
2018-01-02,169.7400,170.3000,167.9900,168.1200,168.1200,940789,0.0000,1.0000
2017-12-29,170.2500,171.0890,169.3700,169.4000,169.4000,682750,0.0000,1.0000
2017-12-28,169.4900,169.9300,168.6000,169.8500,169.8500,394902,0.0000,1.0000
2017-12-27,167.9500,169.8900,167.7600,169.4000,169.4000,490530,0.0000,1.0000
2017-12-26,168.2900,168.7600,166.6700,167.4200,167.4200,553528,0.0000,1.0000
2017-12-22,168.9900,169.6400,167.6300,167.8300,167.8300,707820,0.0000,1.0000
2017-12-21,170.0800,171.2500,168.5800,168.7800,168.7800,695417,0.0000,1.0000
2017-12-20,171.4300,172.3100,169.4400,170.0100,170.0100,1389194,0.0000,1.0000
2017-12-19,172.0300,172.2100,170.5400,172.0000,172.0000,1016297,0.0000,1.0000
2017-12-18,169.6300,171.3900,169.1600,170.9100,170.9100,1246992,0.0000,1.0000
2017-12-15,168.9300,169.9899,168.4600,169.0500,169.0500,1682484,0.0000,1.0000
2017-12-14,168.8600,170.0000,167.3400,167.5900,167.5900,1248272,0.0000,1.0000
2017-12-13,172.5400,173.2200,168.9400,169.0100,169.0100,2059366,0.0000,1.0000
2017-12-12,171.8600,174.0700,171.4500,172.5700,172.5700,1333079,0.0000,1.0000
2017-12-11,171.2800,172.3000,170.6250,171.7000,171.7000,1158441,0.0000,1.0000
2017-12-08,170.0200,171.2100,169.4000,171.2100,171.2100,927837,0.0000,1.0000
2017-12-07,168.2200,169.9300,167.7600,169.5300,169.5300,544716,0.0000,1.0000
2017-12-06,168.0400,169.4000,167.7750,168.6200,168.6200,666399,0.0000,1.0000
