timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,106.9600,107.0900,106.0300,106.5900,106.5900,2153496,0.0000,1.0000
2018-01-16,107.7800,107.8100,106.5000,107.0600,107.0600,3808650,0.0000,1.0000
2018-01-12,106.3400,107.4400,106.1300,106.8900,106.8900,2561944,0.0000,1.0000
2018-01-11,107.2700,107.5500,106.5101,106.8000,106.8000,747126,0.0000,1.0000
2018-01-10,106.8500,107.5000,106.7300,107.1900,107.1900,2579424,0.0000,1.0000
2018-01-09,108.5600,108.7000,107.5200,107.6200,107.6200,3994736,0.0000,1.0000
2018-01-08,108.4500,108.5300,107.6200,108.4800,108.4800,3884656,0.0000,1.0000
2018-01-05,108.8400,109.7400,107.6000,108.4500,108.4500,12566805,0.0000,1.0000
2018-01-04,108.0900,109.6900,106.8500,107.4200,107.4200,3501033,0.0000,1.0000
2018-01-03,102.9900,108.5000,102.9900,108.1400,108.1400,3508681,0.0000,1.0000
2018-01-02,107.2400,107.4800,105.2800,105.3500,105.3500,2279593,0.0000,1.0000
2017-12-29,107.2800,107.5750,106.5400,106.9200,106.9200,864172,0.0000,1.0000
2017-12-28,107.3600,107.8500,106.7200,107.0800,107.0800,1250969,0.8225,1.0000
2017-12-27,108.3200,108.9200,107.5400,107.8300,107.0081,1061330,0.0000,1.0000
2017-12-26,108.2100,108.8600,107.6650,107.9400,107.1172,961584,0.0000,1.0000
2017-12-22,105.8050,108.7700,105.0300,108.3100,107.4844,2198822,0.0000,1.0000
2017-12-21,110.2500,111.2500,106.7000,106.9100,106.0951,4442848,0.0000,1.0000
2017-12-20,112.2300,112.6500,111.5200,111.9300,111.0768,1390282,0.0000,1.0000
2017-12-19,114.6600,115.6000,112.1700,112.1900,111.3348,1160721,0.0000,1.0000
2017-12-18,116.3900,116.8145,114.4600,115.0700,114.1929,1154787,0.0000,1.0000
2017-12-15,116.5800,117.5500,115.3000,116.5300,115.6417,1859661,0.0000,1.0000
2017-12-14,114.5200,115.9100,114.0500,115.7800,114.8975,1191528,0.0000,1.0000
2017-12-13,115.3100,115.9300,114.6700,115.2400,114.3616,1858575,0.0000,1.0000
2017-12-12,117.0700,117.0700,114.5400,114.6900,113.8158,1607758,0.0000,1.0000
2017-12-11,116.5300,118.0800,116.1300,118.0300,117.1303,1597308,0.0000,1.0000
2017-12-08,116.1300,116.7300,114.0001,116.6900,115.8005,1912703,0.0000,1.0000
2017-12-07,116.0400,116.6300,115.3100,116.4300,115.5425,1906615,0.0000,1.0000
2017-12-06,116.2200,116.6500,115.3800,116.3100,115.4234,1689303,0.0000,1.0000
2017-12-05,120.5000,120.5400,115.6600,116.2200,115.3341,3128477,0.0000,1.0000
2017-12-04,120.2700,121.5900,120.0200,120.4900,119.5716,905173,0.0000,1.0000
2017-12-01,121.3400,121.7300,119.7200,120.4800,119.5616,1195329,0.0000,1.0000
2017-11-30,120.2500,121.5600,120.1500,120.9900,120.0677,1738034,0.0000,1.0000
2017-11-29,119.1000,120.4000,118.6600,120.2600,119.3433,1053142,0.0000,1.0000
2017-11-28,119.6000,120.4700,119.4600,119.5800,118.6685,1223743,0.0000,1.0000
2017-11-27,118.9600,119.6500,118.5300,119.4300,118.5196,886531,0.0000,1.0000
2017-11-24,118.9600,119.2700,118.4600,118.7000,117.7952,87094,0.0000,1.0000
2017-11-22,118.9500,119.6000,118.2200,118.6600,117.7555,934695,0.0000,1.0000
2017-11-21,119.0200,119.3300,118.4500,118.8200,117.9143,1357623,0.0000,1.0000
2017-11-20,119.5500,119.8900,118.7000,118.8000,117.8944,1292472,0.0000,1.0000
2017-11-17,119.6200,120.1847,119.1600,119.5100,118.5990,1695303,0.0000,1.0000
2017-11-16,120.3600,120.6100,119.5600,119.8600,118.9464,1339319,0.0000,1.0000
2017-11-15,122.6800,122.9750,120.4100,120.4100,119.4922,1897958,0.0000,1.0000
2017-11-14,121.6400,122.6200,121.5600,122.2300,121.2983,1513862,0.0000,1.0000
2017-11-13,121.3800,122.3100,121.0100,121.9600,121.0303,782918,0.0000,1.0000
2017-11-10,120.6300,121.3600,120.3500,121.1300,120.2067,1238977,0.0000,1.0000
2017-11-09,120.5900,121.7000,120.5800,121.3800,120.4548,824638,0.0000,1.0000
2017-11-08,120.2500,121.3750,120.1300,121.0300,120.1074,1632569,0.0000,1.0000
2017-11-07,118.9900,120.8600,118.5500,120.5200,119.6013,1108093,0.0000,1.0000
2017-11-06,119.3200,119.4400,118.5500,118.8700,117.9639,995122,0.0000,1.0000
2017-11-03,117.5400,119.3400,117.5357,118.9800,118.0731,1271352,0.0000,1.0000
2017-11-02,116.7600,117.8600,116.4600,117.8100,116.9120,1404007,0.0000,1.0000
2017-11-01,116.9700,117.2700,115.9100,116.6300,115.7410,1447625,0.0000,1.0000
2017-10-31,117.6000,117.9700,116.8100,117.5000,116.6043,1342480,0.0000,1.0000
2017-10-30,115.4400,117.7200,114.1040,117.4500,116.5547,2481116,0.0000,1.0000
2017-10-27,114.8200,116.1900,114.7800,115.6400,114.7585,1167422,0.0000,1.0000
2017-10-26,115.2200,115.7600,114.5500,115.1100,114.2326,1197322,0.0000,1.0000
2017-10-25,114.6300,114.7000,113.2700,114.3400,113.4684,1553600,0.0000,1.0000
2017-10-24,114.2500,115.0300,114.0100,114.9600,114.0837,1120678,0.0000,1.0000
2017-10-23,114.3300,114.6800,114.0500,114.4300,113.5577,1520232,0.0000,1.0000
2017-10-20,113.9700,114.2900,113.6000,114.1300,113.2600,1202933,0.0000,1.0000
2017-10-19,113.2600,114.3500,113.2400,114.0900,113.2203,2185560,0.0000,1.0000
2017-10-18,113.4400,114.0600,112.8500,113.0500,112.1883,798314,0.0000,1.0000
2017-10-17,114.2800,114.5900,113.5700,114.0400,113.1707,1118677,0.0000,1.0000
2017-10-16,114.5600,114.8900,114.1400,114.4600,113.5875,712848,0.0000,1.0000
2017-10-13,116.2600,116.4900,114.1100,114.8700,113.9944,1237806,0.0000,1.0000
2017-10-12,114.9300,116.1700,114.5100,115.9600,115.0761,1161029,0.0000,1.0000
2017-10-11,114.5700,115.5100,114.1700,114.9400,114.0639,1407688,0.0000,1.0000
2017-10-10,112.9500,114.5100,112.7600,113.8100,112.9425,1710019,0.0000,1.0000
2017-10-09,112.2000,113.2600,112.2000,112.6300,111.7715,1023584,0.0000,1.0000
2017-10-06,111.6100,111.9800,110.0000,111.9500,111.0966,1373032,0.0000,1.0000
2017-10-05,114.0000,114.0000,111.2700,112.0200,111.1661,2211662,0.0000,1.0000
2017-10-04,113.8800,114.6200,113.7600,114.5600,113.6868,1158944,0.0000,1.0000
2017-10-03,114.0200,114.1700,113.5500,113.8700,113.0020,1116692,0.0000,1.0000
2017-10-02,114.5600,115.1800,113.9200,113.9800,113.1112,863008,0.0000,1.0000
2017-09-29,114.4400,114.7500,113.9000,114.1300,113.2600,880666,0.0000,1.0000
2017-09-28,114.0500,114.6000,113.5500,114.5800,113.7066,966093,0.0000,1.0000
2017-09-27,115.8500,115.9600,114.0200,114.5000,113.6272,905617,0.0000,1.0000
2017-09-26,116.8600,117.0400,116.1800,116.2600,115.3738,879899,0.0000,1.0000
2017-09-25,116.1100,117.0100,115.7100,116.8800,115.9891,1093096,0.0000,1.0000
2017-09-22,116.3800,116.3800,115.7200,115.9400,115.0562,1178063,0.0000,1.0000
2017-09-21,116.0000,116.8550,115.8900,115.9100,115.0265,1248193,0.8225,1.0000
2017-09-20,117.6000,118.1100,116.4100,116.5800,114.8762,1397428,0.0000,1.0000
2017-09-19,117.7500,118.1700,117.2700,117.5800,115.8616,792580,0.0000,1.0000
2017-09-18,119.2100,119.4200,117.1600,117.6600,115.9404,1258311,0.0000,1.0000
2017-09-15,119.6700,119.7100,118.8500,119.2900,117.5466,1628660,0.0000,1.0000
2017-09-14,118.1500,119.4200,117.6420,119.0900,117.3495,1360687,0.0000,1.0000
2017-09-13,118.0600,118.6900,117.9750,118.1200,116.3937,1037414,0.0000,1.0000
2017-09-12,119.9000,120.1700,117.5900,118.3400,116.6105,960078,0.0000,1.0000
2017-09-11,118.9600,120.1000,118.8000,120.0600,118.3053,942085,0.0000,1.0000
2017-09-08,118.9500,119.1900,118.4400,119.1600,117.4185,567186,0.0000,1.0000
2017-09-07,117.4000,119.1900,116.7500,118.9700,117.2313,994654,0.0000,1.0000
2017-09-06,117.8700,117.8700,116.7200,117.2000,115.4871,771448,0.0000,1.0000
2017-09-05,118.0600,118.3200,117.3100,117.6400,115.9207,848801,0.0000,1.0000
2017-09-01,118.3100,118.5600,117.5300,117.9400,116.2163,439342,0.0000,1.0000
2017-08-31,117.9700,118.2150,117.7300,117.9300,116.2065,824848,0.0000,1.0000
2017-08-30,118.4900,118.6700,117.5200,117.7500,116.0291,645260,0.0000,1.0000
2017-08-29,119.2700,119.4600,118.7300,118.7800,117.0440,639700,0.0000,1.0000
2017-08-28,119.5700,119.5700,118.6900,119.2100,117.4678,738551,0.0000,1.0000
2017-08-25,119.0700,119.6600,119.0000,119.0300,117.2904,996798,0.0000,1.0000
2017-08-24,118.4500,119.1950,118.2600,119.0700,117.3298,894178,0.0000,1.0000
2017-08-23,118.2300,118.6900,117.0400,118.6300,116.8962,1075789,0.0000,1.0000
2017-08-22,118.4300,118.7700,117.9000,118.2800,116.5513,1167861,0.0000,1.0000
2017-08-21,116.7700,118.7800,116.6500,118.4000,116.6696,1847375,0.0000,1.0000
2017-08-18,115.6300,116.6300,115.3400,116.5500,114.8466,844595,0.0000,1.0000
2017-08-17,117.0800,117.4100,115.7400,115.7900,114.0977,702816,0.0000,1.0000
2017-08-16,116.8900,117.2000,116.5900,116.9600,115.2506,560619,0.0000,1.0000
2017-08-15,115.7000,116.9500,115.7000,116.8000,115.0930,1094234,0.0000,1.0000
2017-08-14,115.6500,116.4400,115.3200,116.4300,114.7284,1019979,0.0000,1.0000
2017-08-11,116.2000,116.2000,115.2400,115.6100,113.9204,518045,0.0000,1.0000
2017-08-10,116.3400,116.4000,115.0400,116.0600,114.3638,1344988,0.0000,1.0000
2017-08-09,117.5500,117.5500,116.2800,116.7300,115.0240,820390,0.0000,1.0000
2017-08-08,117.0300,117.5800,116.8150,117.4900,115.7729,869178,0.0000,1.0000
2017-08-07,117.1900,117.5900,116.6400,117.1200,115.4083,955718,0.0000,1.0000
2017-08-04,116.2900,117.3700,115.3000,117.1900,115.4773,999088,0.0000,1.0000
2017-08-03,114.7800,116.2700,114.6900,116.0300,114.3342,1207808,0.0000,1.0000
2017-08-02,114.0000,115.0800,113.7573,115.0400,113.3587,629632,0.0000,1.0000
2017-08-01,116.2900,117.3700,115.3000,117.1900,115.4773,1318664,0.0000,1.0000
2017-07-31,113.1500,113.5900,112.6500,113.0100,111.3584,1652893,0.0000,1.0000
2017-07-28,112.9700,113.7200,112.5300,113.0400,111.3879,772847,0.0000,1.0000
2017-07-27,113.2100,113.2100,112.2900,113.0800,111.4273,998913,0.0000,1.0000
2017-07-26,112.6900,113.3400,112.4000,113.3300,111.6737,881514,0.0000,1.0000
2017-07-25,113.3700,113.3700,112.5800,112.7600,111.1120,689731,0.0000,1.0000
2017-07-24,114.9200,114.9450,113.2400,113.3300,111.6737,923518,0.0000,1.0000
2017-07-21,113.9900,114.9300,113.3400,114.9300,113.2503,839719,0.0000,1.0000
