timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-12,49.1200,51.1000,49.1100,51.0900,51.0900,3762104,0.0000,1.0000
2018-01-11,47.3600,49.0500,47.1100,49.0050,49.0050,6194888,0.0000,1.0000
2018-01-10,46.1600,47.2700,45.8100,47.0700,47.0700,3775278,0.0000,1.0000
2018-01-09,46.4800,47.2900,46.0400,46.3900,46.3900,10134043,0.0000,1.0000
2018-01-08,48.7800,49.7000,45.6200,46.0000,46.0000,23296795,0.0000,1.0000
2018-01-05,42.8400,42.9900,42.4400,42.9400,42.9400,2175256,0.0000,1.0000
2018-01-04,42.8700,43.2300,41.9700,42.6400,42.6400,2813467,0.0000,1.0000
2018-01-03,42.9300,43.1500,42.4800,42.8500,42.8500,3442424,0.0000,1.0000
2018-01-02,42.3500,43.1400,41.9100,42.9300,42.9300,2858238,0.0000,1.0000
2017-12-29,42.0100,42.3500,41.8400,41.8400,41.8400,1858084,0.0000,1.0000
2017-12-28,42.1900,42.2600,41.7400,42.0200,42.0200,1365904,0.0000,1.0000
2017-12-27,42.2400,42.4900,41.7300,42.1100,42.1100,1924430,0.0000,1.0000
2017-12-26,41.9900,42.7000,41.7100,42.1400,42.1400,2967661,0.0000,1.0000
2017-12-22,41.9300,42.3900,41.9000,42.1700,42.1700,1713079,0.0000,1.0000
2017-12-21,41.7200,42.5300,41.5900,41.9600,41.9600,3416825,0.0000,1.0000
2017-12-20,42.4400,42.5000,41.3600,41.5300,41.5300,3321926,0.0000,1.0000
2017-12-19,42.2100,42.7300,41.9400,42.1800,42.1800,4509414,0.6300,1.0000
2017-12-18,42.3600,43.0650,42.2290,42.9900,42.3574,4438856,0.0000,1.0000
2017-12-15,42.2000,42.2100,41.4100,42.0200,41.4016,5226620,0.0000,1.0000
2017-12-14,42.2100,42.2900,41.8400,41.9400,41.3228,3266626,0.0000,1.0000
2017-12-13,42.3700,42.6450,41.9400,42.0800,41.4607,4457142,0.0000,1.0000
2017-12-12,40.6700,42.5700,40.6000,42.1200,41.5002,6334919,0.0000,1.0000
2017-12-11,40.3500,41.1300,40.1700,40.4700,39.8744,3662820,0.0000,1.0000
2017-12-08,39.8300,40.6150,39.5800,40.4900,39.8941,5484432,0.0000,1.0000
2017-12-07,39.1600,40.1000,38.9800,39.5800,38.9975,3623699,0.0000,1.0000
2017-12-06,39.1700,39.3100,38.5600,39.1800,38.6034,2511691,0.0000,1.0000
2017-12-05,39.5200,39.9500,39.0400,39.1300,38.5542,3928593,0.0000,1.0000
2017-12-04,39.7600,40.0200,38.7800,39.2000,38.6231,4526402,0.0000,1.0000
2017-12-01,38.3100,39.2850,37.2500,39.1100,38.5344,5125089,0.0000,1.0000
2017-11-30,38.9900,39.1600,38.2100,38.5600,37.9925,6782523,0.0000,1.0000
2017-11-29,39.9500,40.5000,38.6600,38.7500,38.1797,6070187,0.0000,1.0000
2017-11-28,39.3800,40.0500,38.9600,39.9800,39.3916,3802594,0.0000,1.0000
2017-11-27,39.4700,39.7000,38.5600,39.0800,38.5049,5621453,0.0000,1.0000
2017-11-24,40.3600,40.5500,39.9700,40.2900,39.6971,1340056,0.0000,1.0000
2017-11-22,40.0200,40.4700,39.8200,40.3300,39.7365,2349807,0.0000,1.0000
2017-11-21,40.0500,40.6390,39.9600,40.1400,39.5493,3842499,0.0000,1.0000
2017-11-20,39.3400,40.0700,39.0800,39.8500,39.2636,3980590,0.0000,1.0000
2017-11-17,39.2400,39.6000,38.7800,39.4200,38.8399,3137317,0.0000,1.0000
2017-11-16,37.9600,39.2750,37.9300,39.1200,38.5443,5258404,0.0000,1.0000
2017-11-15,37.3400,37.8500,37.2400,37.8100,37.2536,3478562,0.0000,1.0000
2017-11-14,37.6200,37.9300,37.3300,37.4900,36.9383,2598799,0.0000,1.0000
2017-11-13,37.9000,37.9400,37.3200,37.6600,37.1058,2278152,0.0000,1.0000
2017-11-10,37.2000,38.0800,37.2000,37.9900,37.4309,3008360,0.0000,1.0000
2017-11-09,37.1300,38.1300,37.1300,37.4100,36.8595,4336743,0.0000,1.0000
2017-11-08,37.0400,38.2000,36.7310,37.7100,37.1551,4241354,0.0000,1.0000
2017-11-07,37.4300,37.4859,36.8400,37.1200,36.5737,2519972,0.0000,1.0000
2017-11-06,36.2800,37.5300,36.0700,37.4600,36.9087,3185648,0.0000,1.0000
2017-11-03,36.6000,36.9800,36.1600,36.3300,35.7954,2278186,0.0000,1.0000
2017-11-02,36.9700,37.0000,36.3801,36.7700,36.2289,2742841,0.0000,1.0000
2017-11-01,37.3800,37.6300,36.6600,36.9600,36.4161,2749139,0.0000,1.0000
2017-10-31,36.8200,37.7300,36.5700,36.9700,36.4259,4375224,0.0000,1.0000
2017-10-30,36.9500,36.9800,36.1200,36.6800,36.1402,5819176,0.0000,1.0000
2017-10-27,38.2600,38.2600,36.8450,36.9000,36.3570,5252944,0.0000,1.0000
2017-10-26,38.3100,38.6200,37.5700,38.1800,37.6181,4264314,0.0000,1.0000
2017-10-25,38.4700,38.6800,37.5000,38.1500,37.5886,7379280,0.0000,1.0000
2017-10-24,39.5000,40.3400,38.5100,38.8400,38.2684,11989769,0.0000,1.0000
2017-10-23,39.6500,40.9000,37.6400,39.3500,38.7709,33542604,0.0000,1.0000
2017-10-20,34.5500,35.2800,34.4100,34.9400,34.4258,8284828,0.0000,1.0000
2017-10-19,33.9200,34.3500,33.8525,34.3400,33.8346,4347907,0.0000,1.0000
2017-10-18,34.1100,34.3300,34.0200,34.2600,33.7558,3730725,0.0000,1.0000
2017-10-17,34.0400,34.1900,33.1500,33.9600,33.4602,5932640,0.0000,1.0000
2017-10-16,34.4600,34.5500,34.0850,34.4900,33.9824,3544996,0.0000,1.0000
2017-10-13,33.8600,34.5600,33.6600,34.4000,33.8938,4143795,0.0000,1.0000
2017-10-12,33.4000,33.7700,33.2200,33.6200,33.1252,5083120,0.0000,1.0000
2017-10-11,33.5800,34.1000,33.4000,33.5000,33.0070,3483188,0.0000,1.0000
2017-10-10,34.2400,34.3450,33.3600,33.7500,33.2533,5187527,0.0000,1.0000
2017-10-09,34.0300,34.8200,33.8400,33.8500,33.3519,3632809,0.0000,1.0000
2017-10-06,33.8600,34.1300,33.5100,33.7900,33.2927,3360079,0.0000,1.0000
2017-10-05,34.0800,34.2800,33.7600,34.1000,33.5982,3150220,0.0000,1.0000
2017-10-04,34.0400,34.2600,33.8600,33.9800,33.4799,3049756,0.0000,1.0000
2017-10-03,34.2000,34.2500,33.5300,34.0500,33.5489,3739357,0.0000,1.0000
2017-10-02,33.6400,34.4800,33.5400,34.2000,33.6967,7393719,0.0000,1.0000
2017-09-29,32.9900,33.2300,32.7500,33.1700,32.6819,2483712,0.0000,1.0000
2017-09-28,33.2500,33.3700,32.4100,32.9800,32.4947,4565542,0.0000,1.0000
2017-09-27,33.0200,33.4700,32.5900,33.1800,32.6917,3724071,0.0000,1.0000
2017-09-26,33.1800,33.5000,32.8000,32.8700,32.3863,3408704,0.0000,1.0000
2017-09-25,33.4200,33.7000,32.9700,33.1600,32.6720,3446826,0.0000,1.0000
2017-09-22,32.6700,33.6500,32.5600,33.5700,33.0760,4384634,0.0000,1.0000
2017-09-21,32.3800,33.0500,32.0500,32.7200,32.2385,4661601,0.0000,1.0000
2017-09-20,32.1900,32.6800,31.9700,32.3800,31.9035,4362557,0.0000,1.0000
2017-09-19,32.7500,32.9200,31.7000,32.1800,31.7064,7946068,0.6300,1.0000
