timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,218.0200,220.1900,217.9501,219.2200,219.2200,1898497,0.0000,1.0000
2018-01-16,217.9500,220.0000,217.2000,217.7600,217.7600,2196800,0.0000,1.0000
2018-01-12,219.5000,219.9800,216.8900,217.5200,217.5200,4265183,0.0000,1.0000
2018-01-11,219.7800,220.9200,218.4000,219.0500,219.0500,2095803,0.0000,1.0000
2018-01-10,221.7900,222.1000,218.2450,219.3600,219.3600,3418547,0.0000,1.0000
2018-01-09,216.7700,222.5500,216.5000,222.0800,222.0800,2261603,0.0000,1.0000
2018-01-08,219.8800,220.1600,214.0000,216.8400,216.8400,4915396,0.0000,1.0000
2018-01-05,220.4500,222.8600,216.2500,219.8800,219.8800,9907414,0.0000,1.0000
2018-01-04,228.3600,229.5000,224.7100,225.7900,225.7900,2774122,0.0000,1.0000
2018-01-03,226.7000,228.7750,226.0100,227.5000,227.5000,1715119,0.0000,1.0000
2018-01-02,229.0000,229.4599,225.8100,226.5600,226.5600,2332568,0.0000,1.0000
2017-12-29,228.1200,229.4249,227.0000,228.5700,228.5700,1588677,0.0000,1.0000
2017-12-28,228.4900,228.9800,225.5900,227.9800,227.9800,1864910,0.0000,1.0000
2017-12-27,225.7800,226.3600,223.5800,225.9800,225.9800,1332961,0.0000,1.0000
2017-12-26,224.3600,226.3257,223.5110,225.5100,225.5100,1540999,0.0000,1.0000
2017-12-22,224.1900,224.9700,222.0900,223.8100,223.8100,948088,0.0000,1.0000
2017-12-21,224.5400,225.4700,223.1800,224.6000,224.6000,970855,0.0000,1.0000
2017-12-20,223.7500,223.9100,221.0500,223.5100,223.5100,1191100,0.0000,1.0000
2017-12-19,222.9500,224.5099,222.6300,223.2300,223.2300,1289756,0.0000,1.0000
2017-12-18,224.8050,226.3400,221.5000,222.4200,222.4200,1419901,0.0000,1.0000
2017-12-15,221.9550,224.8400,221.4800,224.4400,224.4400,2437853,0.0000,1.0000
2017-12-14,219.2600,224.3799,219.0100,222.7500,222.7500,1319055,0.0000,1.0000
2017-12-13,219.8300,220.8300,217.9600,218.5800,218.5800,1100874,0.0000,1.0000
2017-12-12,220.1200,223.4600,218.3800,220.0100,220.0100,1693758,0.0000,1.0000
2017-12-11,217.2100,219.8600,215.9400,219.3700,219.3700,1235761,0.0000,1.0000
2017-12-08,217.3200,218.0200,216.8700,217.9800,217.9800,1308822,0.0000,1.0000
2017-12-07,217.0200,218.3850,216.6200,216.8500,216.8500,883134,0.0000,1.0000
2017-12-06,217.3300,218.8700,216.7400,216.9300,216.9300,957578,0.0000,1.0000
2017-12-05,216.3500,217.9200,215.8300,216.8200,216.8200,965795,0.0000,1.0000
2017-12-04,219.1900,219.4900,214.3300,216.3400,216.3400,1686495,0.0000,1.0000
2017-12-01,217.6600,218.7703,215.8500,218.6000,218.6000,1082162,0.0000,1.0000
2017-11-30,214.3700,217.9000,213.0800,217.5900,217.5900,1542050,0.0000,1.0000
2017-11-29,220.4900,221.0900,212.6700,214.3600,214.3600,1560100,0.0000,1.0000
2017-11-28,220.1900,221.1100,218.8100,220.0200,220.0200,1060169,0.0000,1.0000
2017-11-27,221.8100,221.9850,219.7508,220.1200,220.1200,809540,0.0000,1.0000
