timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,5.2800,5.4300,5.2600,5.4100,5.4100,32989402,0.0000,1.0000
2018-01-16,5.4500,5.4800,5.2100,5.2500,5.2500,31030778,0.0000,1.0000
2018-01-12,5.5400,5.5700,5.3700,5.4700,5.4700,40662143,0.0000,1.0000
2018-01-11,5.5200,5.5800,5.4350,5.5300,5.5300,17395687,0.0000,1.0000
2018-01-10,5.7600,5.7700,5.4000,5.4100,5.4100,30520345,0.0000,1.0000
2018-01-09,5.7600,5.8800,5.6900,5.7100,5.7100,25423772,0.0000,1.0000
2018-01-08,5.6200,5.7400,5.4900,5.7300,5.7300,16130972,0.0000,1.0000
2018-01-05,5.7300,5.7850,5.5800,5.5900,5.5900,21605706,0.0000,1.0000
2018-01-04,5.9200,6.0500,5.7900,5.8600,5.8600,37444632,0.0000,1.0000
2018-01-03,5.9300,5.9800,5.8000,5.9100,5.9100,17076483,0.0000,1.0000
2018-01-02,5.6800,5.9450,5.6200,5.9100,5.9100,22829777,0.0000,1.0000
2017-12-29,5.8300,5.9700,5.5700,5.5800,5.5800,23102212,0.0000,1.0000
2017-12-28,5.6000,5.7900,5.5800,5.7600,5.7600,19436070,0.0000,1.0000
2017-12-27,5.5300,5.6200,5.4000,5.4600,5.4600,15238462,0.0000,1.0000
2017-12-26,5.4100,5.4600,5.3100,5.4500,5.4500,19866465,0.0000,1.0000
2017-12-22,5.3200,5.4900,5.3000,5.3200,5.3200,16205355,0.0000,1.0000
2017-12-21,5.1350,5.3900,5.1000,5.3400,5.3400,17197094,0.0000,1.0000
2017-12-20,5.2300,5.3250,5.1300,5.1700,5.1700,17356707,0.0000,1.0000
2017-12-19,5.3200,5.4200,5.1500,5.1800,5.1800,17529357,0.0000,1.0000
2017-12-18,5.2500,5.4500,5.2200,5.2900,5.2900,21105073,0.0000,1.0000
2017-12-15,5.3300,5.3800,5.1100,5.1100,5.1100,22592120,0.0000,1.0000
2017-12-14,5.4900,5.5197,5.2400,5.2900,5.2900,21720268,0.0000,1.0000
2017-12-13,5.5400,5.6300,5.5000,5.5500,5.5500,16847263,0.0000,1.0000
2017-12-12,5.8600,5.8600,5.4800,5.5400,5.5400,20630423,0.0000,1.0000
2017-12-11,5.5900,5.8800,5.5700,5.8100,5.8100,26995284,0.0000,1.0000
2017-12-08,5.5900,5.6700,5.4250,5.4900,5.4900,23959332,0.0000,1.0000
2017-12-07,5.7400,5.8900,5.4900,5.5300,5.5300,28312647,0.0000,1.0000
2017-12-06,6.0900,6.1100,5.7500,5.8300,5.8300,17418528,0.0000,1.0000
2017-12-05,6.1500,6.2150,5.9500,6.0900,6.0900,18998594,0.0000,1.0000
2017-12-04,6.4000,6.5090,6.1900,6.2100,6.2100,19963081,0.0000,1.0000
2017-12-01,6.4300,6.6200,6.3150,6.3800,6.3800,18249014,0.0000,1.0000
2017-11-30,6.4300,6.6000,6.1700,6.3600,6.3600,19705290,0.0000,1.0000
2017-11-29,6.4600,6.6300,6.3950,6.4500,6.4500,14644405,0.0000,1.0000
2017-11-28,6.2100,6.4500,6.1300,6.4000,6.4000,13103798,0.0000,1.0000
2017-11-27,6.2000,6.2400,6.0600,6.1700,6.1700,9677914,0.0000,1.0000
2017-11-24,6.3700,6.3900,6.0900,6.1700,6.1700,8091177,0.0000,1.0000
2017-11-22,6.2700,6.3700,6.2100,6.3400,6.3400,12368721,0.0000,1.0000
2017-11-21,6.2100,6.3800,6.0700,6.1900,6.1900,17706611,0.0000,1.0000
2017-11-20,6.3300,6.3800,6.1500,6.2600,6.2600,12823707,0.0000,1.0000
2017-11-17,6.1700,6.4700,6.1600,6.4500,6.4500,11609542,0.0000,1.0000
2017-11-16,6.2100,6.2400,6.0800,6.1000,6.1000,10881523,0.0000,1.0000
2017-11-15,6.1500,6.2400,5.9800,6.1300,6.1300,20871723,0.0000,1.0000
2017-11-14,6.4000,6.4700,6.0800,6.2100,6.2100,23718589,0.0000,1.0000
2017-11-13,6.5900,6.6700,6.4800,6.5000,6.5000,16812651,0.0000,1.0000
2017-11-10,6.4200,6.7200,6.4200,6.6700,6.6700,16925631,0.0000,1.0000
2017-11-09,6.1200,6.6500,6.1100,6.4900,6.4900,22903754,0.0000,1.0000
2017-11-08,6.1400,6.2500,6.0900,6.1300,6.1300,16555981,0.0000,1.0000
2017-11-07,6.1800,6.2300,6.0800,6.1400,6.1400,20705040,0.0000,1.0000
2017-11-06,5.9100,6.1900,5.8900,6.1800,6.1800,20713922,0.0000,1.0000
2017-11-03,5.7300,5.9100,5.6800,5.8500,5.8500,15257940,0.0000,1.0000
2017-11-02,5.8500,5.9200,5.6600,5.6900,5.6900,21880465,0.0000,1.0000
2017-11-01,5.6300,5.8600,5.6000,5.8500,5.8500,21670143,0.0000,1.0000
2017-10-31,5.2900,5.5600,5.2900,5.5500,5.5500,16239787,0.0000,1.0000
2017-10-30,5.4200,5.5100,5.2800,5.3500,5.3500,19249376,0.0000,1.0000
2017-10-27,5.2000,5.4500,5.0800,5.4400,5.4400,25768816,0.0000,1.0000
2017-10-26,5.0400,5.1900,4.9000,5.1700,5.1700,22541695,0.0000,1.0000
2017-10-25,5.1300,5.1500,5.0100,5.0500,5.0500,14745800,0.0000,1.0000
2017-10-24,5.2100,5.2400,5.1000,5.1300,5.1300,16382176,0.0000,1.0000
2017-10-23,5.4600,5.4800,5.1300,5.1400,5.1400,15438743,0.0000,1.0000
2017-10-20,5.4200,5.4700,5.3500,5.3800,5.3800,9399331,0.0000,1.0000
2017-10-19,5.4100,5.5200,5.3500,5.4600,5.4600,10193429,0.0000,1.0000
2017-10-18,5.5500,5.6800,5.4600,5.4700,5.4700,11004463,0.0000,1.0000
2017-10-17,5.5700,5.7200,5.5700,5.5900,5.5900,11653180,0.0000,1.0000
2017-10-16,5.7400,5.7400,5.5700,5.5800,5.5800,11119514,0.0000,1.0000
2017-10-13,5.9200,5.9300,5.7000,5.7100,5.7100,11903134,0.0000,1.0000
2017-10-12,5.8000,5.9100,5.6700,5.8300,5.8300,15639040,0.0000,1.0000
2017-10-11,5.8600,5.9000,5.6500,5.8600,5.8600,16842634,0.0000,1.0000
2017-10-10,5.9800,6.0600,5.8000,5.8300,5.8300,15758431,0.0000,1.0000
2017-10-09,5.9200,5.9400,5.8300,5.9000,5.9000,7627357,0.0000,1.0000
2017-10-06,6.0900,6.1200,5.9000,5.9300,5.9300,11911280,0.0000,1.0000
2017-10-05,6.1600,6.3000,6.1000,6.1400,6.1400,16968751,0.0000,1.0000
2017-10-04,6.2600,6.3100,6.0300,6.1200,6.1200,13756128,0.0000,1.0000
2017-10-03,6.2400,6.3100,6.1100,6.2600,6.2600,10167784,0.0000,1.0000
2017-10-02,5.9800,6.2700,5.9400,6.2600,6.2600,17404083,0.0000,1.0000
2017-09-29,6.1100,6.1800,6.0500,6.1100,6.1100,9362363,0.0000,1.0000
2017-09-28,6.2900,6.3300,6.0100,6.1400,6.1400,16978561,0.0000,1.0000
2017-09-27,6.3000,6.3900,6.1500,6.3000,6.3000,14530085,0.0000,1.0000
2017-09-26,6.1000,6.2800,6.0700,6.2300,6.2300,14706872,0.0000,1.0000
2017-09-25,6.1000,6.1700,5.9600,6.1200,6.1200,18261269,0.0000,1.0000
2017-09-22,5.8200,6.0500,5.7800,6.0200,6.0200,13638384,0.0000,1.0000
2017-09-21,6.0000,6.0000,5.6900,5.8300,5.8300,23089840,0.0000,1.0000
2017-09-20,6.0400,6.1900,6.0300,6.0500,6.0500,21210929,0.0000,1.0000
2017-09-19,6.0500,6.0800,5.9300,5.9800,5.9800,14846643,0.0000,1.0000
2017-09-18,5.8400,6.0900,5.8100,6.0300,6.0300,18448289,0.0000,1.0000
2017-09-15,5.7600,5.8800,5.6900,5.7900,5.7900,17397828,0.0000,1.0000
2017-09-14,5.9100,6.0500,5.8000,5.9100,5.9100,18119312,0.0000,1.0000
2017-09-13,5.8000,6.0800,5.7800,5.8500,5.8500,22166122,0.0000,1.0000
2017-09-12,5.4500,5.8900,5.4300,5.7600,5.7600,23615978,0.0000,1.0000
2017-09-11,5.2200,5.4200,5.2200,5.4100,5.4100,16879744,0.0000,1.0000
2017-09-08,5.4700,5.4800,5.0900,5.1800,5.1800,18745037,0.0000,1.0000
2017-09-07,5.5900,5.6300,5.4600,5.5000,5.5000,10278101,0.0000,1.0000
2017-09-06,5.6700,5.7400,5.5500,5.6000,5.6000,17619254,0.0000,1.0000
2017-09-05,5.7000,5.7800,5.5300,5.5600,5.5600,14202873,0.0000,1.0000
2017-09-01,5.4600,5.7000,5.3400,5.6800,5.6800,14242103,0.0000,1.0000
2017-08-31,5.3900,5.5300,5.3000,5.4500,5.4500,11929793,0.0000,1.0000
2017-08-30,5.3700,5.4300,5.3000,5.3000,5.3000,10251099,0.0000,1.0000
2017-08-29,5.3200,5.4600,5.2100,5.4400,5.4400,14304450,0.0000,1.0000
2017-08-28,5.3100,5.4100,5.2400,5.3600,5.3600,14252607,0.0000,1.0000
2017-08-25,5.5300,5.5300,5.2800,5.3300,5.3300,13984880,0.0000,1.0000
2017-08-24,5.3100,5.5600,5.2700,5.5200,5.5200,15193581,0.0000,1.0000
2017-08-23,5.2400,5.3600,5.1500,5.3500,5.3500,12173195,0.0000,1.0000
2017-08-22,5.2300,5.3700,5.2200,5.2700,5.2700,12102933,0.0000,1.0000
2017-08-21,5.2400,5.3100,5.1200,5.1800,5.1800,13189420,0.0000,1.0000
2017-08-18,5.1500,5.3300,5.0800,5.2800,5.2800,18364416,0.0000,1.0000
2017-08-17,5.1800,5.3200,5.1300,5.1300,5.1300,10606061,0.0000,1.0000
2017-08-16,5.3200,5.3600,5.1600,5.2300,5.2300,10621557,0.0000,1.0000
2017-08-15,5.1700,5.3600,5.1300,5.3300,5.3300,15917169,0.0000,1.0000
2017-08-14,5.3500,5.3800,5.1600,5.1800,5.1800,14324285,0.0000,1.0000
2017-08-11,5.1600,5.3500,5.1300,5.3400,5.3400,14334973,0.0000,1.0000
2017-08-10,5.3100,5.4700,5.2000,5.2200,5.2200,18186315,0.0000,1.0000
2017-08-09,5.2600,5.4400,5.2200,5.2700,5.2700,18459322,0.0000,1.0000
2017-08-08,5.1700,5.3900,5.1100,5.1800,5.1800,15245794,0.0000,1.0000
2017-08-07,5.2600,5.2900,5.0300,5.2000,5.2000,17779611,0.0000,1.0000
2017-08-04,5.0100,5.3800,5.0000,5.2800,5.2800,21389195,0.0000,1.0000
2017-08-03,5.3700,5.3900,5.2100,5.2200,5.2200,19642076,0.0000,1.0000
2017-08-02,5.6000,5.6400,5.3600,5.3700,5.3700,20330541,0.0000,1.0000
2017-08-01,5.6600,5.7300,5.5800,5.6600,5.6600,21386518,0.0000,1.0000
2017-07-31,5.8400,5.8500,5.5500,5.7000,5.7000,21668983,0.0000,1.0000
2017-07-28,6.0300,6.2400,5.8300,5.9300,5.9300,20551760,0.0000,1.0000
2017-07-27,5.9400,6.1600,5.8700,6.0500,6.0500,19004097,0.0000,1.0000
2017-07-26,5.9800,6.0700,5.8400,5.9100,5.9100,21112729,0.0000,1.0000
2017-07-25,5.7600,6.0800,5.7200,5.9200,5.9200,23159663,0.0000,1.0000
2017-07-24,5.8000,5.8600,5.5400,5.6400,5.6400,18637140,0.0000,1.0000
2017-07-21,5.9500,5.9900,5.7200,5.7700,5.7700,17586162,0.0000,1.0000
2017-07-20,6.1700,6.2900,5.9300,5.9500,5.9500,19057780,0.0000,1.0000
2017-07-19,5.8400,6.1900,5.8400,6.1300,6.1300,14828263,0.0000,1.0000
2017-07-18,6.1600,6.2250,5.8300,5.8400,5.8400,17242941,0.0000,1.0000
2017-07-17,6.0400,6.2500,5.9900,6.0900,6.0900,11439996,0.0000,1.0000
2017-07-14,5.9100,6.0900,5.9100,6.0100,6.0100,12038031,0.0000,1.0000
2017-07-13,5.7700,5.9100,5.7300,5.9000,5.9000,14565192,0.0000,1.0000
2017-07-12,5.9800,6.0500,5.7300,5.7900,5.7900,15205366,0.0000,1.0000
2017-07-11,5.8700,6.0500,5.7700,5.9700,5.9700,14335929,0.0000,1.0000
2017-07-10,5.6300,5.8600,5.5800,5.8500,5.8500,15199348,0.0000,1.0000
2017-07-07,5.7400,5.7400,5.5100,5.6000,5.6000,16574398,0.0000,1.0000
2017-07-06,5.8600,5.9000,5.5900,5.7400,5.7400,22963144,0.0000,1.0000
2017-07-05,6.2100,6.2100,5.7400,5.8100,5.8100,21389330,0.0000,1.0000
2017-07-03,6.0900,6.3700,6.0900,6.3000,6.3000,9279101,0.0000,1.0000
2017-06-30,6.0700,6.2900,6.0700,6.0800,6.0800,15850224,0.0000,1.0000
2017-06-29,5.8700,6.2700,5.8700,6.1800,6.1800,21421260,0.0000,1.0000
2017-06-28,5.8300,6.0100,5.7500,5.8300,5.8300,22226532,0.0000,1.0000
2017-06-27,5.9900,6.0100,5.7800,5.8000,5.8000,17550474,0.0000,1.0000
2017-06-26,5.8200,6.0600,5.7900,5.9000,5.9000,19627954,0.0000,1.0000
2017-06-23,5.5700,5.7900,5.5700,5.7900,5.7900,24725241,0.0000,1.0000
2017-06-22,5.5300,5.6400,5.4700,5.5500,5.5500,15693674,0.0000,1.0000
2017-06-21,5.8000,5.8900,5.4700,5.5000,5.5000,18001427,0.0000,1.0000
2017-06-20,5.8100,5.8700,5.6800,5.8000,5.8000,17906534,0.0000,1.0000
2017-06-19,6.0300,6.0600,5.8200,5.8700,5.8700,13386791,0.0000,1.0000
2017-06-16,6.2000,6.2100,6.0100,6.0600,6.0600,20222972,0.0000,1.0000
2017-06-15,6.0100,6.2100,5.9800,6.1800,6.1800,16201746,0.0000,1.0000
2017-06-14,6.4000,6.4400,6.0700,6.0800,6.0800,16370200,0.0000,1.0000
2017-06-13,6.1600,6.4700,6.0800,6.4300,6.4300,16102981,0.0000,1.0000
2017-06-12,6.2400,6.3300,6.0900,6.1200,6.1200,20489756,0.0000,1.0000
2017-06-09,5.9200,6.2500,5.8600,6.1600,6.1600,17453757,0.0000,1.0000
2017-06-08,5.8700,6.0900,5.8400,5.8800,5.8800,15256848,0.0000,1.0000
2017-06-07,5.9900,6.1400,5.8700,5.9600,5.9600,22650531,0.0000,1.0000
2017-06-06,5.7600,6.1300,5.7000,6.0800,6.0800,29564082,0.0000,1.0000
2017-06-05,5.6600,5.8500,5.6400,5.7600,5.7600,19182129,0.0000,1.0000
2017-06-02,5.9800,5.9800,5.5800,5.7400,5.7400,30598661,0.0000,1.0000
2017-06-01,6.1200,6.2400,6.0100,6.0400,6.0400,23324151,0.0000,1.0000
2017-05-31,6.2100,6.2900,6.0100,6.0600,6.0600,47026998,0.0000,1.0000
2017-05-30,6.5000,6.5600,6.3200,6.3500,6.3500,20426640,0.0000,1.0000
2017-05-26,6.6600,6.7500,6.5600,6.6100,6.6100,16401051,0.0000,1.0000
2017-05-25,6.7700,6.9400,6.4300,6.6700,6.6700,27930272,0.0000,1.0000
2017-05-24,7.0000,7.0100,6.7000,6.7600,6.7600,18624436,0.0000,1.0000
2017-05-23,6.9900,7.1300,6.9200,6.9900,6.9900,17392887,0.0000,1.0000
2017-05-22,7.1900,7.2600,6.9900,7.0200,7.0200,17700823,0.0000,1.0000
2017-05-19,6.9700,7.2000,6.8400,7.1100,7.1100,26874417,0.0000,1.0000
2017-05-18,7.0200,7.0500,6.8100,6.8400,6.8400,20608236,0.0000,1.0000
2017-05-17,7.2400,7.2700,7.0300,7.0300,7.0300,27780696,0.0000,1.0000
2017-05-16,7.2600,7.3800,7.1000,7.2400,7.2400,28794348,0.0000,1.0000
2017-05-15,7.8000,7.8100,7.2500,7.3300,7.3300,22443438,0.0000,1.0000
2017-05-12,7.4800,7.6700,7.4200,7.6600,7.6600,15062813,0.0000,1.0000
2017-05-11,7.3500,7.6300,7.2400,7.4800,7.4800,25837637,0.0000,1.0000
2017-05-10,7.2400,7.4500,7.1600,7.3300,7.3300,17431289,0.0000,1.0000
2017-05-09,7.2700,7.3100,7.1000,7.1300,7.1300,17416351,0.0000,1.0000
2017-05-08,7.2200,7.3900,7.0500,7.2500,7.2500,17468854,0.0000,1.0000
2017-05-05,7.1000,7.3700,7.0400,7.3500,7.3500,17652352,0.0000,1.0000
2017-05-04,7.2300,7.2800,6.8100,7.0200,7.0200,24645028,0.0000,1.0000
2017-05-03,7.4200,7.4900,7.2300,7.3200,7.3200,18984659,0.0000,1.0000
2017-05-02,7.5600,7.7800,7.3600,7.4800,7.4800,17810298,0.0000,1.0000
2017-05-01,7.4600,7.6800,7.3700,7.5300,7.5300,20016348,0.0000,1.0000
2017-04-28,8.1400,8.2500,7.4800,7.5100,7.5100,35901500,0.0000,1.0000
2017-04-27,7.6600,7.7000,7.3100,7.6700,7.6700,27548408,0.0000,1.0000
2017-04-26,7.7200,8.1200,7.6300,7.8300,7.8300,23393538,0.0000,1.0000
2017-04-25,7.5100,7.7300,7.4000,7.7200,7.7200,13421330,0.0000,1.0000
2017-04-24,7.4900,7.6600,7.4400,7.5300,7.5300,15509975,0.0000,1.0000
2017-04-21,7.4900,7.5000,7.3500,7.4400,7.4400,11344029,0.0000,1.0000
2017-04-20,7.3700,7.5700,7.3100,7.4600,7.4600,125361,0.0000,1.0000
2017-04-19,7.4800,7.6300,7.2900,7.3100,7.3100,250489,0.0000,1.0000
2017-04-18,7.4100,7.5500,7.3100,7.3300,7.3300,13644980,0.0000,1.0000
2017-04-17,7.4600,7.5600,7.3600,7.4900,7.4900,13103522,0.0000,1.0000
2017-04-13,7.8900,7.8900,7.4200,7.4800,7.4800,21833557,0.0000,1.0000
2017-04-12,8.0600,8.2700,7.8000,7.8700,7.8700,15310409,0.0000,1.0000
2017-04-11,8.3300,8.3500,7.9500,8.1000,8.1000,16336089,0.0000,1.0000
2017-04-10,8.4300,8.5400,8.3500,8.3600,8.3600,10017413,0.0000,1.0000
2017-04-07,8.4900,8.5500,8.3000,8.4000,8.4000,11604934,0.0000,1.0000
2017-04-06,8.4200,8.6200,8.3600,8.5000,8.5000,13702049,0.0000,1.0000
2017-04-05,8.7800,8.9400,8.2900,8.3400,8.3400,28560301,0.0000,1.0000
2017-04-04,7.9400,8.7100,7.9300,8.5900,8.5900,40798571,0.0000,1.0000
2017-04-03,8.1600,8.1800,7.6500,7.8900,7.8900,134423684,0.0000,1.0000
2017-03-31,8.0400,8.3200,8.0400,8.1700,8.1700,18521166,0.0000,1.0000
2017-03-30,8.1800,8.3900,8.0400,8.0900,8.0900,17765159,0.0000,1.0000
2017-03-29,7.9700,8.2400,7.8600,8.1500,8.1500,18967534,0.0000,1.0000
2017-03-28,7.6600,7.9400,7.5500,7.8900,7.8900,12038417,0.0000,1.0000
2017-03-27,7.4400,7.7100,7.3600,7.7000,7.7000,10948509,0.0000,1.0000
2017-03-24,7.5400,7.6700,7.4400,7.5600,7.5600,9998173,0.0000,1.0000
2017-03-23,7.4600,7.6200,7.4100,7.5400,7.5400,13263477,0.0000,1.0000
2017-03-22,7.4000,7.4900,7.3200,7.3600,7.3600,8822823,0.0000,1.0000
