timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,74.9900,77.2500,74.8310,76.8200,76.8200,7083177,0.0000,1.0000
2018-01-16,76.8800,77.5800,74.6400,74.9600,74.9600,10130875,0.0000,1.0000
2018-01-12,74.5400,77.0000,74.4500,76.8000,76.8000,14842440,0.0000,1.0000
2018-01-11,70.9000,72.8700,70.5000,72.6100,72.6100,4470167,0.0000,1.0000
2018-01-10,69.4100,71.7600,69.3000,70.7300,70.7300,10922350,0.0000,1.0000
2018-01-09,69.5200,70.0200,68.5000,69.1400,69.1400,18026810,0.0000,1.0000
2018-01-08,67.2000,68.3200,66.2450,67.1800,67.1800,8322024,0.0000,1.0000
2018-01-05,66.3800,66.7400,65.9500,66.5500,66.5500,5485034,0.0000,1.0000
2018-01-04,67.2300,67.8200,65.0600,65.8500,65.8500,7079014,0.0000,1.0000
2018-01-03,68.6300,68.8400,67.1000,67.1700,67.1700,6051638,0.0000,1.0000
2018-01-02,65.9500,68.1300,65.9500,67.6300,67.6300,8408098,0.0000,1.0000
2017-12-29,65.2100,65.7400,64.8900,65.2500,65.2500,4978893,0.0000,1.0000
2017-12-28,65.2300,65.4100,64.6000,64.8200,64.8200,2461995,0.0000,1.0000
2017-12-27,66.0000,66.1100,65.0650,65.1400,65.1400,3497398,0.0000,1.0000
2017-12-26,65.4000,66.4500,65.2500,65.8200,65.8200,2632175,0.0000,1.0000
2017-12-22,65.1200,65.4700,64.6700,65.3900,65.3900,3928497,0.0000,1.0000
2017-12-21,64.7700,65.7350,64.5200,65.2200,65.2200,7427601,0.0000,1.0000
2017-12-20,64.3400,65.2400,64.1744,64.4800,64.4800,8116707,0.0000,1.0000
2017-12-19,64.3300,64.6400,63.8700,64.0600,64.0600,5939111,0.0000,1.0000
2017-12-18,63.6000,64.4200,63.3500,64.0800,64.0800,6289907,0.0000,1.0000
2017-12-15,62.6700,63.2000,62.3500,62.6100,62.6100,8047786,0.0000,1.0000
2017-12-14,62.9400,63.7000,61.8900,61.9400,61.9400,6286952,0.0000,1.0000
2017-12-13,60.8500,62.8300,60.8000,62.6700,62.6700,7869078,0.0000,1.0000
2017-12-12,61.7600,61.9500,60.8800,61.0200,61.0200,4705714,0.0000,1.0000
2017-12-11,61.5800,62.1700,61.1500,61.7600,61.7600,4315287,0.0000,1.0000
2017-12-08,61.1000,61.8300,60.6500,61.3700,61.3700,3564497,0.0000,1.0000
2017-12-07,60.8800,61.6600,60.5000,61.0900,61.0900,3958053,0.0000,1.0000
2017-12-06,62.1000,62.2800,60.5500,60.7200,60.7200,5504091,0.0000,1.0000
2017-12-05,62.3900,62.4800,60.4500,62.2000,62.2000,8080207,0.0000,1.0000
2017-12-04,60.6500,63.0300,60.5400,62.5600,62.5600,11458242,0.0000,1.0000
2017-12-01,60.0000,60.4700,58.9010,59.5100,59.5100,8317976,0.0000,1.0000
2017-11-30,61.6500,63.1000,59.8400,59.9000,59.9000,14923067,0.0000,1.0000
2017-11-29,56.8200,61.7800,56.8200,61.6800,61.6800,18820853,0.0000,1.0000
2017-11-28,56.0200,56.7500,55.4200,56.6200,56.6200,6268446,0.0000,1.0000
2017-11-27,56.2000,56.3900,55.2500,55.8400,55.8400,8233552,0.0000,1.0000
2017-11-24,58.0500,58.1300,55.8300,55.8800,55.8800,5891540,0.0000,1.0000
2017-11-22,57.4200,57.7600,57.0700,57.4900,57.4900,2867640,0.0000,1.0000
2017-11-21,57.8500,58.0700,56.7900,57.2500,57.2500,5937253,0.0000,1.0000
2017-11-20,57.9700,58.2100,57.1100,57.8800,57.8800,7335245,0.0000,1.0000
2017-11-17,55.7600,58.7400,55.7200,58.1400,58.1400,15956657,0.0000,1.0000
2017-11-16,54.5100,55.3200,54.1300,55.1000,55.1000,12642653,0.0000,1.0000
2017-11-15,56.2600,57.9100,54.0400,54.1600,54.1600,34575232,0.0000,1.0000
2017-11-14,59.5900,60.3100,59.1500,60.0900,60.0900,8002063,0.6200,1.0000
2017-11-13,61.4000,61.9500,60.1500,60.4000,59.7832,6579304,0.0000,1.0000
