timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,209.5600,211.6700,208.3000,211.4800,211.4800,1461968,0.0000,1.0000
2018-01-16,211.8100,211.8100,207.5050,208.0100,208.0100,2260581,0.0000,1.0000
2018-01-12,208.8900,211.5400,207.7931,210.1700,210.1700,1486494,0.0000,1.0000
2018-01-11,206.9500,207.0000,205.9600,206.2800,206.2800,359343,0.0000,1.0000
2018-01-10,204.8000,206.6200,201.9601,206.2900,206.2900,1413883,0.0000,1.0000
2018-01-09,204.7500,206.9200,203.4000,206.1000,206.1000,1845173,0.0000,1.0000
2018-01-08,202.3900,203.2400,200.2000,202.7200,202.7200,1972784,0.0000,1.0000
2018-01-05,200.0000,202.6500,199.2100,202.3900,202.3900,1467851,0.0000,1.0000
2018-01-04,197.1500,199.6000,196.6700,198.9800,198.9800,1560371,0.0000,1.0000
2018-01-03,192.2100,196.6700,191.1800,196.5200,196.5200,1455535,0.0000,1.0000
2018-01-02,190.8000,193.4900,190.3800,192.9800,192.9800,1139623,0.0000,1.0000
2017-12-29,191.9400,191.9500,189.8800,189.8800,189.8800,850779,0.0000,1.0000
2017-12-28,190.9400,191.9800,190.2600,191.1700,191.1700,675483,0.0000,1.0000
2017-12-27,190.6900,191.2250,190.1800,191.1700,191.1700,659918,0.0000,1.0000
2017-12-26,190.7200,191.1489,189.9262,190.3400,190.3400,467408,0.0000,1.0000
2017-12-22,190.0400,191.1200,189.0900,190.4200,190.4200,1091819,0.0000,1.0000
2017-12-21,192.6700,193.5600,190.9550,191.1300,191.1300,1176883,0.0000,1.0000
2017-12-20,193.5100,194.7800,190.9400,192.2900,192.2900,1431700,0.0000,1.0000
2017-12-19,194.6400,195.3500,192.6950,193.8900,193.8900,1540517,0.0000,1.0000
2017-12-18,193.4600,194.5200,192.8800,193.5700,193.5700,1305281,0.0000,1.0000
2017-12-15,189.7350,192.6800,189.4100,192.2700,192.2700,3443857,0.0000,1.0000
2017-12-14,191.5500,193.0800,188.2042,188.3200,188.3200,2157809,0.1500,1.0000
