timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,115.0800,116.9050,114.5800,116.3800,116.3800,1588447,0.0000,1.0000
2018-01-16,116.5200,117.6400,114.3200,114.4700,114.4700,1646380,0.0000,1.0000
2018-01-12,114.0600,115.6200,113.9700,115.3500,115.3500,1361147,0.0000,1.0000
2018-01-11,111.8600,112.2150,110.3500,112.1200,112.1200,731426,0.0000,1.0000
2018-01-10,111.9000,112.7000,111.2400,112.2700,112.2700,1041292,0.0000,1.0000
2018-01-09,111.1300,112.1700,110.6600,111.7500,111.7500,1324148,0.0000,1.0000
2018-01-08,108.2200,110.2200,107.5150,109.8800,109.8800,1638427,0.0000,1.0000
2018-01-05,105.5300,107.4200,105.3100,107.2300,107.2300,1034534,0.0000,1.0000
2018-01-04,105.1300,106.2000,105.0000,105.3100,105.3100,762730,0.0000,1.0000
2018-01-03,103.5000,104.6100,103.2600,104.4900,104.4900,1138350,0.0000,1.0000
2018-01-02,104.4400,105.0000,102.3500,103.0800,103.0800,1582110,0.0000,1.0000
2017-12-29,105.7900,106.1000,104.9300,104.9300,104.9300,654502,0.0000,1.0000
2017-12-28,105.1000,105.4400,104.7000,105.3400,105.3400,803703,0.0000,1.0000
2017-12-27,105.5500,105.8500,104.8900,105.0200,105.0200,1008602,0.0000,1.0000
2017-12-26,105.4600,105.5400,104.9250,105.3600,105.3600,553933,0.0000,1.0000
2017-12-22,104.6000,105.2900,104.1000,105.2400,105.2400,826784,0.0000,1.0000
2017-12-21,104.2800,104.9000,103.3900,104.6000,104.6000,1007411,0.0000,1.0000
2017-12-20,103.2900,104.8000,103.2900,103.7600,103.7600,1306914,0.0000,1.0000
2017-12-19,103.9800,104.2700,103.0750,103.1400,103.1400,1106081,0.0000,1.0000
2017-12-18,103.4000,105.3600,103.0000,103.4400,103.4400,1762403,0.0000,1.0000
2017-12-15,101.6000,103.0800,101.0300,102.5700,102.5700,3375520,0.0000,1.0000
2017-12-14,102.6100,103.1200,101.2300,101.5900,101.5900,1251026,0.0000,1.0000
2017-12-13,101.9100,103.2100,101.7300,101.9000,101.9000,1299067,0.5700,1.0000
2017-12-12,101.8000,102.9600,101.8000,102.6400,102.0691,2025280,0.0000,1.0000
2017-12-11,102.8700,102.8800,101.5800,101.8500,101.2834,1213132,0.0000,1.0000
2017-12-08,101.9500,103.3700,100.8900,102.7500,102.1784,1932944,0.0000,1.0000
2017-12-07,101.7800,103.0500,101.6800,102.7400,102.1685,1058411,0.0000,1.0000
2017-12-06,101.2000,102.4600,101.0500,101.7900,101.2238,1163410,0.0000,1.0000
2017-12-05,103.7700,104.4000,101.5300,101.6400,101.0746,1900343,0.0000,1.0000
2017-12-04,103.3500,103.6100,102.0700,102.8200,102.2481,2097236,0.0000,1.0000
