timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,79.7800,81.1100,79.4800,80.5800,80.5800,1082443,0.0000,1.0000
2018-01-16,79.9700,80.9300,78.4200,79.1800,79.1800,1370118,0.0000,1.0000
2018-01-12,78.5400,79.8500,78.4500,79.6100,79.6100,2099397,0.0000,1.0000
2018-01-11,77.9700,77.9700,75.8921,76.9500,76.9500,1259332,0.0000,1.0000
2018-01-10,79.1100,79.3100,78.1600,78.5300,78.5300,1406301,0.0000,1.0000
2018-01-09,79.4500,79.5900,78.7700,79.4900,79.4900,1116649,0.0000,1.0000
2018-01-08,79.1700,79.7200,78.7118,79.2500,79.2500,1408547,0.0000,1.0000
2018-01-05,77.8900,79.5300,77.6900,79.4400,79.4400,1998054,0.0000,1.0000
2018-01-04,76.5100,77.7200,76.0900,77.6200,77.6200,1223314,0.0000,1.0000
2018-01-03,75.8400,76.3550,75.4450,76.2500,76.2500,783696,0.0000,1.0000
2018-01-02,75.3500,76.7300,75.0100,75.6800,75.6800,1584927,0.0000,1.0000
2017-12-29,75.0000,75.2200,74.5800,74.7500,74.7500,724118,0.0000,1.0000
2017-12-28,75.1200,75.1600,74.5200,75.0800,75.0800,605565,0.0000,1.0000
2017-12-27,75.4900,75.5000,74.8150,74.8800,74.8800,859592,0.0000,1.0000
2017-12-26,74.5900,75.6400,74.4500,75.3000,75.3000,1106126,0.0000,1.0000
2017-12-22,74.4700,74.6200,73.5000,74.4800,74.4800,1147791,0.0000,1.0000
2017-12-21,72.9900,74.5300,72.6500,74.3900,74.3900,2028944,0.0000,1.0000
2017-12-20,71.0900,73.2300,70.9164,72.9700,72.9700,3017559,0.0000,1.0000
2017-12-19,69.1500,70.6000,68.4400,70.5000,70.5000,2275154,0.0000,1.0000
2017-12-18,68.5900,69.5000,68.4500,69.2000,69.2000,1466090,0.0000,1.0000
2017-12-15,67.2900,68.7400,66.8900,68.4200,68.4200,5634052,0.0000,1.0000
2017-12-14,68.0800,68.4100,66.7400,66.7800,66.7800,1333097,0.0000,1.0000
2017-12-13,67.7800,68.5600,67.5300,67.9200,67.9200,1515582,0.0000,1.0000
2017-12-12,67.0000,68.0000,66.6100,67.8400,67.8400,1155825,0.0000,1.0000
2017-12-11,68.3000,68.3631,66.6300,67.1500,67.1500,1689347,0.0000,1.0000
2017-12-08,66.8500,67.8300,66.2700,67.6600,67.6600,1788483,0.0000,1.0000
2017-12-07,66.9700,67.3800,66.1700,66.4800,66.4800,1869662,0.0000,1.0000
2017-12-06,68.8900,69.2600,66.9500,67.0100,67.0100,1479289,0.0000,1.0000
2017-12-05,68.7700,69.4300,68.0900,68.7500,68.7500,3435594,0.0000,1.0000
2017-12-04,68.6200,69.4200,68.0900,68.2700,68.2700,4664533,0.0000,1.0000
2017-12-01,68.5300,69.1800,67.2300,68.1600,68.1600,2647259,0.0000,1.0000
2017-11-30,69.5800,70.6100,68.2200,68.2400,68.2400,2428413,0.0000,1.0000
2017-11-29,67.7200,69.9600,67.5019,69.3600,69.3600,3240764,0.0000,1.0000
2017-11-28,64.7300,67.8100,64.4500,67.7500,67.7500,2082887,0.0000,1.0000
2017-11-27,64.5700,65.0500,64.0001,64.7200,64.7200,1368148,0.0000,1.0000
2017-11-24,64.6000,64.7200,64.1200,64.2900,64.2900,543507,0.0000,1.0000
2017-11-22,64.9100,65.7700,64.3900,64.7200,64.7200,1265091,0.0000,1.0000
2017-11-21,65.7900,65.8000,63.9400,64.8700,64.8700,1820781,0.0000,1.0000
2017-11-20,64.8000,65.7900,64.6400,65.7300,65.7300,2231126,0.0000,1.0000
2017-11-17,63.4300,64.6000,63.1300,64.5000,64.5000,1945290,0.2700,1.0000
2017-11-16,63.1400,64.1600,62.8000,63.3000,63.3000,2174939,0.0000,1.0000
2017-11-15,61.7000,63.2400,61.1100,62.8400,62.8400,2019599,0.0000,1.0000
2017-11-14,60.9300,62.1400,60.7700,61.6500,61.6500,1371141,0.0000,1.0000
2017-11-13,62.4500,62.9600,61.2900,61.3300,61.3300,1429819,0.0000,1.0000
2017-11-10,61.6600,63.3600,61.5600,62.6700,62.6700,2989813,0.0000,1.0000
2017-11-09,60.2700,62.1600,60.1700,61.8800,61.8800,1588610,0.0000,1.0000
2017-11-08,59.1600,60.8300,59.0600,60.6400,60.6400,1933611,0.0000,1.0000
2017-11-07,59.5000,59.6600,58.6900,59.1400,59.1400,940875,0.0000,1.0000
2017-11-06,59.1100,59.8000,59.0100,59.6200,59.6200,1536311,0.0000,1.0000
2017-11-03,57.9000,60.2000,57.9000,58.9700,58.9700,1861428,0.0000,1.0000
2017-11-02,59.3400,59.9200,58.5000,59.6600,59.6600,1925822,0.0000,1.0000
2017-11-01,60.4000,60.6100,59.1800,59.2800,59.2800,1586211,0.0000,1.0000
2017-10-31,60.7300,61.0000,59.2600,60.2600,60.2600,2752753,0.0000,1.0000
2017-10-30,58.2700,60.6800,57.8900,60.4900,60.4900,3423175,0.0000,1.0000
2017-10-27,57.1000,58.4900,56.2700,58.2600,58.2600,3584292,0.0000,1.0000
2017-10-26,54.9000,57.5500,54.7600,57.3500,57.3500,7656135,0.0000,1.0000
2017-10-25,58.4700,58.7700,57.4500,57.9200,57.9200,4015095,0.0000,1.0000
2017-10-24,58.3800,58.4600,57.2500,58.3000,58.3000,2998403,0.0000,1.0000
2017-10-23,58.7400,59.4900,58.3700,58.4300,58.4300,2060222,0.0000,1.0000
2017-10-20,58.5700,59.1100,58.3200,58.8900,58.8900,1922454,0.0000,1.0000
2017-10-19,58.5600,58.8800,58.0500,58.4300,58.4300,1707832,0.0000,1.0000
2017-10-18,59.1000,60.0200,58.3800,58.6800,58.6800,1597388,0.0000,1.0000
2017-10-17,58.5700,59.5000,58.5600,59.1000,59.1000,2106185,0.0000,1.0000
2017-10-16,58.7900,59.0100,58.2500,58.6400,58.6400,1428004,0.0000,1.0000
2017-10-13,58.4600,59.3600,57.6000,58.8200,58.8200,2257116,0.0000,1.0000
2017-10-12,60.4000,60.4000,57.5900,58.2000,58.2000,3080680,0.0000,1.0000
2017-10-11,60.2000,60.7400,59.3500,59.4300,59.4300,2055356,0.0000,1.0000
2017-10-10,60.3200,60.9800,60.1500,60.3000,60.3000,1271262,0.0000,1.0000
2017-10-09,61.1000,61.2700,59.9300,60.2200,60.2200,1383051,0.0000,1.0000
2017-10-06,62.3000,62.4200,60.8800,61.0500,61.0500,1943084,0.0000,1.0000
2017-10-05,62.1000,62.4700,61.4100,62.4500,62.4500,1424283,0.0000,1.0000
2017-10-04,63.1400,63.4800,62.0900,62.1900,62.1900,1013548,0.0000,1.0000
2017-10-03,63.1800,63.4600,62.8700,63.1900,63.1900,930859,0.0000,1.0000
2017-10-02,61.9900,63.0600,61.6800,62.9900,62.9900,1718910,0.0000,1.0000
2017-09-29,63.0700,63.3300,62.6200,63.2900,63.2900,976224,0.0000,1.0000
2017-09-28,62.9300,63.4000,62.5700,63.1100,63.1100,1192809,0.0000,1.0000
2017-09-27,63.0600,63.2800,62.1200,62.9100,62.9100,1322255,0.0000,1.0000
2017-09-26,62.9100,63.3400,62.2700,62.8500,62.8500,1106083,0.0000,1.0000
2017-09-25,61.1800,63.1000,61.0900,62.8400,62.8400,2119979,0.0000,1.0000
2017-09-22,60.6600,61.6600,60.5100,61.1200,61.1200,1994639,0.0000,1.0000
2017-09-21,60.7400,61.0200,60.0700,60.7500,60.7500,1478668,0.0000,1.0000
2017-09-20,60.9600,61.2200,59.9200,60.6100,60.6100,1989772,0.0000,1.0000
2017-09-19,61.4800,61.6900,60.6600,61.2500,61.2500,1604646,0.0000,1.0000
2017-09-18,63.2100,63.3800,61.2600,61.3500,61.3500,2362509,0.0000,1.0000
2017-09-15,62.7500,63.1900,62.3000,63.1600,63.1600,2092313,0.0000,1.0000
2017-09-14,62.3500,62.5200,61.9800,62.5000,62.5000,1696052,0.0000,1.0000
2017-09-13,61.6100,62.5200,61.5400,62.4000,62.4000,1980780,0.0000,1.0000
2017-09-12,60.9300,61.7300,60.6500,61.7000,61.7000,1398630,0.0000,1.0000
2017-09-11,60.5700,60.9600,60.3200,60.9300,60.9300,2318937,0.0000,1.0000
2017-09-08,60.8000,60.9000,59.6400,60.3100,60.3100,2865953,0.0000,1.0000
2017-09-07,60.4000,60.9900,60.0800,60.9400,60.9400,2085584,0.0000,1.0000
2017-09-06,59.3500,60.7500,59.0600,60.0200,60.0200,2427739,0.0000,1.0000
2017-09-05,59.8200,59.9900,59.0000,59.3800,59.3800,2069401,0.0000,1.0000
2017-09-01,59.7500,59.8000,59.1400,59.5400,59.5400,2174357,0.0000,1.0000
2017-08-31,59.4800,60.1500,59.2500,59.5100,59.5100,2284131,0.0000,1.0000
2017-08-30,58.7000,59.2000,58.4600,58.9500,58.9500,1338973,0.0000,1.0000
2017-08-29,58.4800,58.7800,58.1000,58.7600,58.7600,1391698,0.0000,1.0000
2017-08-28,59.7100,59.8000,58.7900,58.9600,58.9600,2017312,0.0000,1.0000
2017-08-25,57.8600,60.0300,57.8100,59.5800,59.5800,3481117,0.0000,1.0000
2017-08-24,57.5100,58.7200,57.3200,57.6900,57.6900,3284414,0.0000,1.0000
2017-08-23,56.0000,57.2400,55.9300,57.0400,57.0400,4362895,0.0000,1.0000
2017-08-22,55.0100,56.1900,54.9200,56.1700,56.1700,2503658,0.0000,1.0000
2017-08-21,54.6600,55.2400,54.2000,54.7600,54.7600,1675617,0.0000,1.0000
2017-08-18,54.5000,54.8600,53.9200,54.7000,54.7000,2983708,0.0000,1.0000
2017-08-17,53.3700,55.3400,52.8200,54.9200,54.9200,3142013,0.2700,1.0000
2017-08-16,52.8600,53.8600,52.8100,53.7300,53.4671,1699534,0.0000,1.0000
2017-08-15,54.1800,54.1800,51.8500,52.5900,52.3327,2537821,0.0000,1.0000
2017-08-14,53.8000,54.4500,53.2700,54.0300,53.7657,1680655,0.0000,1.0000
2017-08-11,53.2100,53.7600,52.6300,53.4900,53.2283,1594472,0.0000,1.0000
2017-08-10,55.2700,55.2700,53.0800,53.1900,52.9298,2412946,0.0000,1.0000
2017-08-09,55.4600,55.6400,54.7200,55.4900,55.2185,1739820,0.0000,1.0000
2017-08-08,56.5200,56.9600,55.4700,55.7300,55.4574,1591637,0.0000,1.0000
2017-08-07,56.9300,57.1500,56.0500,56.6100,56.3331,1972318,0.0000,1.0000
2017-08-04,55.7000,57.1900,55.5300,56.9900,56.7112,1741883,0.0000,1.0000
2017-08-03,55.3300,56.1200,54.9900,55.5100,55.2384,1901558,0.0000,1.0000
2017-08-02,55.8800,56.1900,55.4900,55.6800,55.4076,1412842,0.0000,1.0000
2017-08-01,56.4000,56.4000,55.1700,56.1900,55.9151,2384359,0.0000,1.0000
2017-07-31,56.7700,56.9900,56.0400,56.1200,55.8455,1761499,0.0000,1.0000
2017-07-28,57.2600,57.7500,56.2300,56.6200,56.3430,3342435,0.0000,1.0000
2017-07-27,54.0000,58.3500,53.6600,57.5300,57.2486,9359182,0.0000,1.0000
2017-07-26,53.5400,54.0100,52.8300,53.4000,53.1388,2956175,0.0000,1.0000
2017-07-25,51.7600,53.8000,51.7600,53.5300,53.2681,2668454,0.0000,1.0000
2017-07-24,52.5700,52.5700,51.3600,51.5200,51.2680,2039646,0.0000,1.0000
2017-07-21,51.9200,52.7600,51.8400,52.6100,52.3526,2387335,0.0000,1.0000
2017-07-20,51.7000,52.6900,51.2900,52.0300,51.7755,2178443,0.0000,1.0000
2017-07-19,52.0300,52.8300,51.5200,51.8400,51.5864,1764103,0.0000,1.0000
2017-07-18,52.2900,52.4500,51.3800,51.8100,51.5565,1579290,0.0000,1.0000
2017-07-17,51.5400,53.1800,51.4300,52.2800,52.0242,3037679,0.0000,1.0000
2017-07-14,50.6000,52.2000,50.4700,51.5200,51.2680,3035809,0.0000,1.0000
2017-07-13,50.2900,50.8700,49.9900,50.3500,50.1037,4123548,0.0000,1.0000
2017-07-12,50.3100,50.7300,49.8700,49.9900,49.7454,2478859,0.0000,1.0000
2017-07-11,50.5200,50.6100,49.8800,50.0500,49.8051,2378349,0.0000,1.0000
2017-07-10,51.0000,51.3800,50.5800,50.6600,50.4122,2528582,0.0000,1.0000
2017-07-07,51.5200,51.8100,50.9200,51.0600,50.8102,3366259,0.0000,1.0000
2017-07-06,52.9700,53.1400,51.4300,51.5000,51.2481,3055205,0.0000,1.0000
2017-07-05,54.8300,55.2000,52.9700,53.0000,52.7407,2798905,0.0000,1.0000
2017-07-03,54.6800,55.3900,54.4500,54.9600,54.6911,1098266,0.0000,1.0000
2017-06-30,53.4600,54.4100,53.0300,54.2100,53.9448,1532041,0.0000,1.0000
2017-06-29,53.1300,53.8400,52.9200,53.0800,52.8203,1342742,0.0000,1.0000
2017-06-28,53.9700,54.3000,53.1000,53.1300,52.8701,1383640,0.0000,1.0000
2017-06-27,52.8500,54.2000,52.7900,53.7600,53.4970,1834864,0.0000,1.0000
2017-06-26,52.6500,53.0800,52.0900,52.8500,52.5914,1888065,0.0000,1.0000
2017-06-23,52.5300,52.8700,52.1100,52.6500,52.3924,2267621,0.0000,1.0000
2017-06-22,52.8600,53.1200,52.4800,52.5300,52.2730,2223321,0.0000,1.0000
2017-06-21,53.6600,53.9900,52.7800,52.8200,52.5616,1777956,0.0000,1.0000
2017-06-20,55.6900,55.8500,53.5900,53.6400,53.3776,2495388,0.0000,1.0000
2017-06-19,55.7100,56.0800,54.9700,55.6300,55.3578,2027917,0.0000,1.0000
2017-06-16,55.5800,55.6800,54.5200,55.4700,55.1986,3201845,0.0000,1.0000
2017-06-15,56.0500,56.3600,55.1700,55.8300,55.5569,1543248,0.0000,1.0000
2017-06-14,57.2600,57.7500,55.7700,56.1200,55.8455,2285828,0.0000,1.0000
2017-06-13,57.5600,58.2400,56.5900,57.1500,56.8704,2372784,0.0000,1.0000
2017-06-12,57.0800,59.2900,57.0600,57.7200,57.4376,3651129,0.0000,1.0000
2017-06-09,54.6900,57.4700,54.2700,57.0200,56.7410,3517338,0.0000,1.0000
2017-06-08,54.7500,56.6400,54.2900,54.4400,54.1737,3939551,0.0000,1.0000
2017-06-07,55.0300,55.8000,54.2900,54.4900,54.2234,2822590,0.0000,1.0000
2017-06-06,55.5900,55.8200,54.7600,55.0200,54.7508,2265551,0.0000,1.0000
2017-06-05,55.7200,56.1900,55.0500,55.9000,55.6265,2819599,0.0000,1.0000
2017-06-02,55.7900,56.1400,54.7200,55.6100,55.3379,2665058,0.0000,1.0000
2017-06-01,55.3700,56.1800,54.9800,56.1100,55.8355,2695658,0.0000,1.0000
2017-05-31,54.9200,55.1700,53.9300,55.1500,54.8802,2192179,0.0000,1.0000
2017-05-30,54.6700,55.3000,54.5400,54.8200,54.5518,2636024,0.0000,1.0000
2017-05-26,54.5800,55.1300,54.0100,54.8800,54.6115,2645692,0.0000,1.0000
2017-05-25,53.2000,54.8100,53.1800,54.3800,54.1140,2722102,0.0000,1.0000
2017-05-24,54.5000,54.5500,52.8500,53.1200,52.8601,3056168,0.0000,1.0000
2017-05-23,56.3500,56.4100,54.0900,54.2900,54.0244,4357638,0.0000,1.0000
2017-05-22,57.6100,57.7200,56.2300,56.3000,56.0246,2267139,0.0000,1.0000
2017-05-19,58.0700,58.4300,57.4200,57.5700,57.2884,2361432,0.0000,1.0000
2017-05-18,57.5700,58.3800,57.4700,57.9700,57.6864,1930170,0.2700,1.0000
