timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,35.9300,36.0500,35.5550,35.8800,35.8800,1298222,0.0000,1.0000
2018-01-17,36.2600,36.3000,35.8000,36.0800,36.0800,1036859,0.0000,1.0000
2018-01-16,35.8800,36.3900,35.8600,36.0700,36.0700,1777427,0.0000,1.0000
2018-01-12,36.0400,36.1880,35.5250,35.7000,35.7000,1587787,0.0000,1.0000
2018-01-11,36.4400,36.6100,36.0400,36.1650,36.1650,558958,0.0000,1.0000
2018-01-10,36.7000,36.7800,36.0950,36.4100,36.4100,2357235,0.0000,1.0000
2018-01-09,37.2900,37.4800,36.4100,36.9400,36.9400,1454296,0.3100,1.0000
2018-01-08,37.6100,37.9000,37.5100,37.6100,37.2970,1366548,0.0000,1.0000
2018-01-05,37.5700,37.5950,37.2800,37.5100,37.1978,1322367,0.0000,1.0000
2018-01-04,38.2200,38.3200,37.4600,37.5600,37.2474,1197496,0.0000,1.0000
2018-01-03,38.1000,38.4150,38.1000,38.3400,38.0209,1088189,0.0000,1.0000
2018-01-02,38.5700,38.6400,38.0600,38.0600,37.7433,1275651,0.0000,1.0000
2017-12-29,38.6400,38.6400,38.4000,38.5200,38.1994,1061552,0.0000,1.0000
2017-12-28,38.4600,38.6600,38.2600,38.6200,38.2986,1040524,0.0000,1.0000
2017-12-27,38.4500,38.5200,38.2100,38.3600,38.0408,808440,0.0000,1.0000
2017-12-26,38.2000,38.3600,38.0400,38.3300,38.0110,702969,0.0000,1.0000
2017-12-22,37.7600,38.2400,37.7188,38.1600,37.8424,1244948,0.0000,1.0000
2017-12-21,38.0250,38.1900,37.6800,37.6800,37.3664,1049167,0.0000,1.0000
2017-12-20,38.2300,38.3650,37.9500,38.0300,37.7135,1632011,0.0000,1.0000
2017-12-19,39.3100,39.5100,38.0050,38.1400,37.8226,1858554,0.0000,1.0000
2017-12-18,39.4600,39.6200,39.2700,39.3700,39.0424,1527316,0.0000,1.0000
2017-12-15,39.2500,39.4700,39.1600,39.3600,39.0324,3482294,0.0000,1.0000
2017-12-14,38.8950,39.1600,38.8300,39.1000,38.7746,1216343,0.0000,1.0000
2017-12-13,39.4300,39.5400,38.8600,39.0300,38.7052,2014251,0.0000,1.0000
2017-12-12,39.1300,39.4200,39.0200,39.3700,39.0424,1496464,0.0000,1.0000
2017-12-11,39.3100,39.3700,39.0500,39.2300,38.9035,1279303,0.0000,1.0000
2017-12-08,38.8700,39.1300,38.6700,39.0300,38.7052,1207539,0.0000,1.0000
2017-12-07,38.9100,39.0100,38.7150,38.8300,38.5069,1194759,0.0000,1.0000
2017-12-06,38.8600,39.0400,38.6600,38.8700,38.5465,912474,0.0000,1.0000
2017-12-05,39.3800,39.3800,38.7700,38.8000,38.4771,1247525,0.0000,1.0000
2017-12-04,39.3300,39.4300,39.1600,39.2900,38.9630,1209305,0.0000,1.0000
2017-12-01,39.4600,39.7650,39.0200,39.2200,38.8936,1417857,0.0000,1.0000
2017-11-30,39.4400,39.4800,39.1200,39.3300,39.0027,1927182,0.0000,1.0000
2017-11-29,39.0400,39.4600,38.6900,39.3600,39.0324,1781341,0.0000,1.0000
2017-11-28,39.4600,39.5600,39.2200,39.4300,39.1019,1426304,0.0000,1.0000
2017-11-27,39.6300,39.7300,39.4700,39.5000,39.1713,874917,0.0000,1.0000
2017-11-24,39.7300,39.8000,39.6200,39.6700,39.3399,372636,0.0000,1.0000
