timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,133.5300,134.3000,132.3900,134.0100,134.0100,3506673,0.0000,1.0000
2018-01-16,134.4100,134.7100,131.7600,132.8800,132.8800,4042141,0.0000,1.0000
2018-01-12,133.4500,134.1600,133.0000,133.7500,133.7500,1138983,0.0000,1.0000
2018-01-11,130.3600,133.7700,130.0200,133.4600,133.4600,4252085,0.0000,1.0000
2018-01-10,128.5200,130.4600,128.4900,129.7900,129.7900,2896138,0.0000,1.0000
2018-01-09,129.2300,130.0000,128.8600,129.1100,129.1100,2914021,0.0000,1.0000
2018-01-08,128.1100,129.5200,127.7400,129.1700,129.1700,3212882,0.0000,1.0000
2018-01-05,127.8200,128.6600,125.7700,127.6200,127.6200,3467128,0.0000,1.0000
2018-01-04,127.0100,128.9500,126.7100,127.2300,127.2300,5456848,0.0000,1.0000
2018-01-03,124.1500,126.6900,123.9000,126.4100,126.4100,5606526,0.0000,1.0000
2018-01-02,120.0400,123.7100,119.6100,123.6700,123.6700,5351669,0.0000,1.0000
2017-12-29,119.0500,120.3200,119.0000,119.1500,119.1500,2604224,0.0000,1.0000
2017-12-28,119.4900,119.5600,118.5100,119.0500,119.0500,1360922,0.0000,1.0000
2017-12-27,118.2000,119.1300,118.0501,119.0800,119.0800,1461320,0.0000,1.0000
2017-12-26,118.9400,119.0800,118.0900,118.2600,118.2600,1290307,0.0000,1.0000
2017-12-22,118.7700,119.0000,118.2100,118.6400,118.6400,1925934,0.0000,1.0000
2017-12-21,118.4750,118.8500,117.5000,118.5800,118.5800,3343149,0.0000,1.0000
2017-12-20,120.3800,120.7300,118.2200,118.3300,118.3300,3403411,0.0000,1.0000
2017-12-19,119.0000,119.4900,118.5500,119.0000,119.0000,2080604,0.0000,1.0000
2017-12-18,118.7600,119.9200,118.6100,118.8100,118.8100,2551177,0.0000,1.0000
2017-12-15,117.6600,118.6000,117.3068,118.0000,118.0000,4123899,0.0000,1.0000
2017-12-14,118.1000,118.3400,116.3300,116.8400,116.8400,2787374,0.0000,1.0000
2017-12-13,118.4800,119.3300,118.0400,118.4000,118.4000,2534769,0.0000,1.0000
2017-12-12,117.9100,118.8800,117.6100,118.1600,118.1600,2504508,0.0000,1.0000
2017-12-11,119.3300,119.4100,117.5600,118.0500,118.0500,2706839,0.0000,1.0000
2017-12-08,120.0600,120.1300,117.8900,119.5600,119.5600,3004624,0.0000,1.0000
2017-12-07,118.3600,120.0200,117.8500,119.7300,119.7300,3261012,0.0000,1.0000
2017-12-06,119.6900,119.9500,117.9700,118.2900,118.2900,3314899,0.0000,1.0000
2017-12-05,123.8300,124.0000,120.2800,120.3700,120.3700,3650335,0.0000,1.0000
2017-12-04,122.1000,125.1600,122.1000,123.7200,123.7200,4535047,0.0000,1.0000
2017-12-01,121.8900,121.8900,119.1000,120.3100,120.3100,3141930,0.0000,1.0000
2017-11-30,119.0400,122.0000,119.0250,121.4500,121.4500,5654168,0.0000,1.0000
2017-11-29,115.4900,119.2600,115.3300,119.0400,119.0400,4122054,0.0000,1.0000
2017-11-28,115.1100,115.4300,114.3900,115.1900,115.1900,1800051,0.0000,1.0000
2017-11-27,113.4200,114.6600,113.3700,114.5400,114.5400,3052613,0.0000,1.0000
2017-11-24,114.0000,114.1900,112.9600,113.1400,113.1400,891718,0.0000,1.0000
2017-11-22,113.9300,114.1900,113.5900,113.7700,113.7700,1842946,0.0000,1.0000
2017-11-21,113.0500,114.1400,112.8000,113.9200,113.9200,2205374,0.0000,1.0000
2017-11-20,113.1800,113.5100,112.8200,113.2000,113.2000,2811124,0.0000,1.0000
2017-11-17,113.3300,113.5000,112.5600,112.9400,112.9400,2121868,0.0000,1.0000
2017-11-16,113.6900,114.2100,112.9700,113.7000,113.7000,2515086,0.0000,1.0000
2017-11-15,113.7500,114.2900,112.6600,112.8900,112.8900,2138422,0.0000,1.0000
2017-11-14,114.3000,114.5000,113.6700,114.0700,114.0700,3159577,0.0000,1.0000
2017-11-13,114.0700,114.8600,113.5300,114.8100,114.8100,3254863,0.0000,1.0000
2017-11-10,111.5700,113.2700,111.3000,113.2300,113.2300,2839985,0.8300,1.0000
2017-11-09,112.8300,113.0000,111.7200,112.5500,111.7310,2695045,0.0000,1.0000
2017-11-08,113.6600,113.7000,112.6500,113.1300,112.3068,2371851,0.0000,1.0000
2017-11-07,113.8300,114.8600,113.6300,113.9500,113.1208,2688499,0.0000,1.0000
2017-11-06,115.5800,116.0000,113.6000,113.9200,113.0910,3338174,0.0000,1.0000
2017-11-03,116.8700,116.8700,115.1700,115.4600,114.6198,2933973,0.0000,1.0000
2017-11-02,117.6200,117.7500,115.0400,116.8700,116.0196,3512759,0.0000,1.0000
2017-11-01,117.9400,118.1700,117.1800,117.4600,116.6053,2085166,0.0000,1.0000
2017-10-31,118.5000,118.7900,117.4500,117.5300,116.6747,2305843,0.0000,1.0000
2017-10-30,120.5200,120.5200,117.8400,118.0900,117.2307,3427621,0.0000,1.0000
2017-10-27,119.3100,121.7500,119.3100,120.7500,119.8713,3602007,0.0000,1.0000
2017-10-26,118.2900,120.7900,117.0000,119.3300,118.4617,3974020,0.0000,1.0000
2017-10-25,119.5800,119.7400,118.4400,118.5500,117.6873,2835524,0.0000,1.0000
2017-10-24,120.1800,120.4200,119.6200,119.7000,118.8290,1753115,0.0000,1.0000
2017-10-23,120.2400,120.4100,119.6300,119.6800,118.8091,2006387,0.0000,1.0000
2017-10-20,119.5900,120.4300,119.5100,119.7600,118.8885,2416056,0.0000,1.0000
2017-10-19,117.6800,119.5300,117.6800,119.4200,118.5510,2032541,0.0000,1.0000
2017-10-18,117.4100,118.7700,117.4100,118.1500,117.2902,2080806,0.0000,1.0000
2017-10-17,118.0000,118.2300,117.4000,117.6800,116.8237,1473375,0.0000,1.0000
2017-10-16,118.6100,118.6900,117.4600,118.3400,117.4789,1244449,0.0000,1.0000
2017-10-13,120.0400,120.1100,118.2400,118.3600,117.4987,1642364,0.0000,1.0000
