timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,134.5600,135.4500,133.7100,134.5800,134.5800,698197,0.0000,1.0000
2018-01-16,134.3500,136.3200,132.9400,133.6900,133.6900,1602800,0.0000,1.0000
2018-01-12,135.2700,135.3500,133.6100,133.9700,133.9700,915860,0.0000,1.0000
2018-01-11,133.3700,135.3900,132.6600,135.2300,135.2300,318725,0.0000,1.0000
2018-01-10,133.2400,133.7300,131.4600,132.4000,132.4000,1319852,0.0000,1.0000
2018-01-09,133.8400,135.6000,133.4900,134.1400,134.1400,1229006,0.0000,1.0000
2018-01-08,131.9000,134.0800,129.8000,133.9400,133.9400,991490,0.0000,1.0000
2018-01-05,133.4500,134.0000,130.8600,131.9000,131.9000,1282572,0.0000,1.0000
2018-01-04,135.0800,135.4500,132.5500,133.3800,133.3800,1325948,0.0000,1.0000
2018-01-03,132.5900,135.0000,132.2300,134.2900,134.2900,2600911,0.0000,1.0000
2018-01-02,129.7500,132.3200,128.9600,131.8700,131.8700,1865442,0.0000,1.0000
2017-12-29,128.4800,129.6300,127.0300,128.3700,128.3700,958258,0.0000,1.0000
2017-12-28,127.5000,127.9700,126.5600,127.6000,127.6000,745740,0.0000,1.0000
2017-12-27,127.1500,127.8850,125.8900,127.4800,127.4800,786419,0.0000,1.0000
2017-12-26,124.0200,127.8500,124.0001,126.7200,126.7200,951413,0.0000,1.0000
2017-12-22,122.2450,125.6800,119.9900,124.2300,124.2300,1158220,0.0000,1.0000
2017-12-21,119.4000,122.9200,118.6900,122.8500,122.8500,1337631,0.0000,1.0000
2017-12-20,119.1400,120.3700,117.7400,118.9800,118.9800,1322793,0.0000,1.0000
2017-12-19,122.3300,122.8600,118.8500,119.2600,119.2600,1432112,0.0000,1.0000
2017-12-18,121.8100,123.5000,120.0000,122.3100,122.3100,1143374,0.0000,1.0000
2017-12-15,121.5950,122.5900,120.5700,120.8200,120.8200,1322943,0.0000,1.0000
2017-12-14,122.4700,123.1100,119.3500,120.2400,120.2400,1229074,0.0000,1.0000
2017-12-13,122.1700,123.9700,121.3900,123.1100,123.1100,1470239,0.0000,1.0000
2017-12-12,123.0900,124.8700,120.9050,121.5100,121.5100,1156300,0.0000,1.0000
2017-12-11,125.0100,125.6200,122.3500,122.9200,122.9200,1181305,0.0000,1.0000
2017-12-08,125.5400,127.6200,125.0500,125.8800,125.8800,1343771,0.0000,1.0000
2017-12-07,121.2900,125.8000,120.5800,124.8800,124.8800,1688472,0.0000,1.0000
2017-12-06,122.2500,122.7700,121.0400,121.1100,121.1100,1149782,0.0000,1.0000
2017-12-05,126.2300,126.2700,121.6000,122.7100,122.7100,1025751,0.0000,1.0000
2017-12-04,122.6900,126.7800,122.1000,125.2500,125.2500,1854121,0.0000,1.0000
2017-12-01,125.7300,125.8500,120.4700,121.2100,121.2100,1911037,0.0000,1.0000
2017-11-30,124.6000,126.6100,123.5000,125.6500,125.6500,1540517,0.0000,1.0000
2017-11-29,121.9800,125.5400,121.3500,124.8600,124.8600,1157284,0.0000,1.0000
2017-11-28,119.9800,121.7500,119.7200,121.6600,121.6600,804340,0.0000,1.0000
2017-11-27,122.2500,122.5600,118.5900,119.6300,119.6300,1466155,0.0000,1.0000
2017-11-24,122.6100,122.9700,121.7600,122.3200,122.3200,287589,0.0000,1.0000
2017-11-22,122.8900,123.6400,122.0200,122.8500,122.8500,609832,0.0000,1.0000
2017-11-21,123.8700,123.8700,122.0400,122.7400,122.7400,837231,0.2500,1.0000
2017-11-20,122.9500,125.3800,122.7200,123.8700,123.6182,783352,0.0000,1.0000
2017-11-17,123.2600,124.9900,122.9100,123.0400,122.7899,957362,0.0000,1.0000
2017-11-16,122.1500,125.7336,121.3700,123.8500,123.5983,1050993,0.0000,1.0000
2017-11-15,123.6100,123.7100,121.2600,121.5600,121.3129,1005537,0.0000,1.0000
2017-11-14,123.9000,124.1800,122.5800,123.9200,123.6681,828789,0.0000,1.0000
2017-11-13,123.3300,124.5000,123.2600,123.9900,123.7380,700520,0.0000,1.0000
2017-11-10,124.1000,124.5100,122.3700,124.0900,123.8378,968301,0.0000,1.0000
2017-11-09,123.4500,124.8700,122.5100,124.6800,124.4266,1005300,0.0000,1.0000
2017-11-08,122.9600,124.1800,122.0700,123.9000,123.6482,870258,0.0000,1.0000
2017-11-07,124.3000,125.0000,121.6300,122.6600,122.4107,1214126,0.0000,1.0000
2017-11-06,126.2000,126.4300,123.6500,124.6100,124.3567,1000050,0.0000,1.0000
2017-11-03,123.8000,126.4600,123.0900,126.4300,126.1730,1557944,0.0000,1.0000
2017-11-02,122.8600,128.7700,122.2700,124.2700,124.0174,3873787,0.0000,1.0000
2017-11-01,122.5500,122.7000,120.0800,121.0200,120.7740,1708743,0.0000,1.0000
2017-10-31,122.5000,123.0100,121.6800,121.7500,121.5025,940928,0.0000,1.0000
2017-10-30,122.1900,123.1700,121.2800,121.9700,121.7221,1234314,0.0000,1.0000
2017-10-27,122.5500,123.0900,121.3100,122.4500,122.2011,830554,0.0000,1.0000
2017-10-26,123.0000,123.9400,120.9100,123.0100,122.7600,1256486,0.0000,1.0000
2017-10-25,123.2500,123.5000,121.3400,122.3300,122.0813,1306176,0.0000,1.0000
2017-10-24,121.1700,123.8500,121.1700,123.7600,123.5084,1039022,0.0000,1.0000
2017-10-23,121.6000,122.0000,120.1900,121.0800,120.8339,954586,0.0000,1.0000
2017-10-20,120.5800,122.5400,120.0800,121.6100,121.3628,1107035,0.0000,1.0000
2017-10-19,116.3200,120.3300,116.1500,120.0400,119.7960,1419204,0.0000,1.0000
2017-10-18,117.5200,117.6000,116.8900,116.9400,116.7023,567024,0.0000,1.0000
2017-10-17,116.8900,117.8200,116.6300,117.0100,116.7722,611869,0.0000,1.0000
2017-10-16,116.6400,117.4500,115.0100,117.3300,117.0915,785708,0.0000,1.0000
2017-10-13,118.6700,118.6700,116.0800,116.2800,116.0436,939461,0.0000,1.0000
2017-10-12,116.7600,118.3800,116.5800,117.7900,117.5506,1010916,0.0000,1.0000
2017-10-11,119.1100,119.3500,116.8400,117.2800,117.0416,1002871,0.0000,1.0000
2017-10-10,120.4900,120.4900,118.0900,119.0100,118.7681,882679,0.0000,1.0000
2017-10-09,120.3500,121.1800,119.4300,120.1900,119.9457,729142,0.0000,1.0000
2017-10-06,119.9000,120.8800,119.2500,120.2500,120.0056,1148467,0.0000,1.0000
2017-10-05,118.5600,120.9300,118.0900,120.8800,120.6343,1108477,0.0000,1.0000
2017-10-04,119.6700,119.6700,117.8000,118.5900,118.3489,567432,0.0000,1.0000
2017-10-03,119.3700,119.9000,117.8800,119.7100,119.4667,992355,0.0000,1.0000
