timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,208.4900,209.4050,206.7900,207.8700,207.8700,756743,0.0000,1.0000
2018-01-17,210.9100,210.9100,207.1200,209.1600,209.1600,589750,0.0000,1.0000
2018-01-16,210.8600,211.6450,207.7300,208.9400,208.9400,511312,0.0000,1.0000
2018-01-12,207.5100,210.0400,205.9550,209.7500,209.7500,252990,0.0000,1.0000
2018-01-11,207.3500,208.1985,205.6400,205.8201,205.8201,66807,0.0000,1.0000
2018-01-10,207.9200,209.4200,204.3500,207.3200,207.3200,307989,0.0000,1.0000
2018-01-09,206.2400,210.0800,205.5300,208.9600,208.9600,532237,0.0000,1.0000
2018-01-08,202.2800,205.2900,200.6800,204.7600,204.7600,483131,0.0000,1.0000
2018-01-05,200.6800,202.8500,200.0000,202.2300,202.2300,363300,0.0000,1.0000
2018-01-04,198.4700,200.0250,198.3600,199.6600,199.6600,337388,0.0000,1.0000
2018-01-03,195.3500,197.9400,195.3500,197.7700,197.7700,271710,0.0000,1.0000
2018-01-02,194.1200,196.6400,193.6000,195.6900,195.6900,355263,0.0000,1.0000
2017-12-29,195.5200,195.6600,193.1600,193.1900,193.1900,204477,0.0000,1.0000
2017-12-28,193.7600,194.8400,192.7000,194.8100,194.8100,194200,0.0000,1.0000
2017-12-27,193.9800,194.7350,193.0400,193.4500,193.4500,235573,0.0000,1.0000
2017-12-26,194.0300,195.0300,193.7400,193.8200,193.8200,116797,0.0000,1.0000
2017-12-22,193.8200,194.8600,192.5600,193.7900,193.7900,227111,0.0000,1.0000
2017-12-21,194.9100,197.4400,194.1800,194.5200,194.5200,292272,0.0000,1.0000
2017-12-20,198.3100,199.2300,196.0100,196.0600,196.0600,254605,0.0000,1.0000
2017-12-19,197.8100,198.4800,197.4800,198.0800,198.0800,246959,0.0000,1.0000
2017-12-18,198.3200,198.7250,197.0200,197.7200,197.7200,366397,0.0000,1.0000
2017-12-15,195.6100,197.9900,194.5400,196.5600,196.5600,1105296,0.0000,1.0000
2017-12-14,196.6050,197.2100,193.7300,193.9800,193.9800,499398,0.0000,1.0000
2017-12-13,198.2000,199.0100,196.7338,197.2000,197.2000,417997,0.0000,1.0000
2017-12-12,197.9400,198.2600,197.0000,197.5000,197.5000,429801,0.0000,1.0000
2017-12-11,198.6300,199.3500,196.0700,197.7600,197.7600,594088,0.0000,1.0000
2017-12-08,197.3700,199.7700,196.6600,199.2900,199.2900,327928,0.0000,1.0000
2017-12-07,195.2400,196.9800,194.1700,196.4700,196.4700,388138,0.0000,1.0000
2017-12-06,194.6000,195.2800,192.4800,195.2000,195.2000,456722,0.0000,1.0000
2017-12-05,195.1400,196.9000,193.3200,194.2600,194.2600,307939,0.0000,1.0000
2017-12-04,199.9000,201.9500,194.6000,194.6700,194.6700,945039,0.0000,1.0000
2017-12-01,197.4500,198.2800,193.6100,198.1600,198.1600,526840,0.0000,1.0000
2017-11-30,196.1200,198.0200,194.1700,197.1700,197.1700,566761,0.0000,1.0000
2017-11-29,197.8000,198.3100,194.6600,195.6800,195.6800,332273,0.0000,1.0000
2017-11-28,197.5000,198.1500,195.4900,197.8000,197.8000,424746,0.0000,1.0000
2017-11-27,196.6000,197.5200,195.8200,196.7100,196.7100,317624,0.0000,1.0000
2017-11-24,196.4000,197.9300,194.6700,195.9500,195.9500,153380,0.0000,1.0000
2017-11-22,197.8400,198.7700,195.3100,196.5700,196.5700,336482,0.0000,1.0000
2017-11-21,198.9000,198.9600,194.0500,198.0600,198.0600,615971,0.0000,1.0000
2017-11-20,199.0500,200.7100,197.6500,200.2700,200.2700,281521,0.0000,1.0000
2017-11-17,198.6000,199.1500,197.4500,198.2100,198.2100,358374,0.0000,1.0000
2017-11-16,195.2100,199.8300,195.2100,199.6000,199.6000,364778,0.0000,1.0000
2017-11-15,195.5200,195.9500,194.2600,194.8400,194.8400,210132,0.0000,1.0000
2017-11-14,193.2200,196.8200,192.5300,195.6400,195.6400,342869,0.0000,1.0000
2017-11-13,192.3400,195.1200,191.9300,194.6400,194.6400,352018,0.0000,1.0000
2017-11-10,194.1200,194.4900,191.8400,193.2100,193.2100,383147,0.0000,1.0000
2017-11-09,195.2800,196.0100,193.2600,194.9700,194.9700,363768,0.0000,1.0000
2017-11-08,195.7300,196.8800,194.5300,196.1800,196.1800,229267,0.0000,1.0000
2017-11-07,195.3600,196.5600,194.3000,196.3500,196.3500,374556,0.0000,1.0000
2017-11-06,197.0600,197.3900,195.4500,195.6300,195.6300,389520,0.0000,1.0000
2017-11-03,197.9000,198.7100,196.6800,197.9200,197.9200,314823,0.0000,1.0000
2017-11-02,197.7600,199.5100,197.2000,197.9100,197.9100,395335,0.0000,1.0000
2017-11-01,197.3000,199.2600,196.1000,198.0500,198.0500,446495,0.0000,1.0000
2017-10-31,196.3900,197.8900,195.2100,196.0500,196.0500,384259,0.0000,1.0000
2017-10-30,199.3900,199.5800,194.8700,196.2200,196.2200,599285,0.0000,1.0000
2017-10-27,194.8300,199.7800,194.2700,199.7500,199.7500,881023,0.0000,1.0000
2017-10-26,190.8400,194.9900,188.8900,194.6300,194.6300,823019,0.0000,1.0000
2017-10-25,188.1900,191.0500,187.6600,190.3500,190.3500,549033,0.0000,1.0000
2017-10-24,186.4900,188.9900,181.8700,187.6300,187.6300,1031840,0.0000,1.0000
2017-10-23,188.5700,190.6400,187.4000,187.5500,187.5500,910665,0.0000,1.0000
2017-10-20,186.6900,189.2700,185.9500,188.1400,188.1400,630019,0.0000,1.0000
2017-10-19,181.2800,185.6700,181.1200,185.4500,185.4500,603928,0.0000,1.0000
2017-10-18,181.5400,182.3900,180.2100,181.1600,181.1600,381213,0.0000,1.0000
2017-10-17,183.9400,184.2900,180.4400,180.9200,180.9200,711055,0.0000,1.0000
2017-10-16,186.1300,186.6800,184.0000,184.6400,184.6400,480610,0.0000,1.0000
2017-10-13,186.3100,186.8100,185.4000,185.7900,185.7900,283112,0.0000,1.0000
2017-10-12,185.1700,186.1700,185.1200,185.8000,185.8000,271556,0.0000,1.0000
2017-10-11,185.0600,186.1200,184.6700,185.6700,185.6700,457925,0.0000,1.0000
2017-10-10,184.4400,185.0600,183.8800,185.0100,185.0100,389146,0.0000,1.0000
2017-10-09,185.0600,185.1000,182.8000,183.8000,183.8000,689267,0.0000,1.0000
2017-10-06,183.6400,186.3000,183.3000,185.8800,185.8800,341223,0.0000,1.0000
2017-10-05,184.1000,184.3600,183.0800,183.9500,183.9500,229755,0.0000,1.0000
2017-10-04,182.6900,184.3200,182.3600,183.8300,183.8300,378435,0.0000,1.0000
2017-10-03,182.3400,183.8400,181.6600,182.8300,182.8300,431168,0.0000,1.0000
2017-10-02,179.7100,182.9800,179.2700,182.0400,182.0400,461143,0.0000,1.0000
2017-09-29,178.4700,179.9800,178.2100,179.5200,179.5200,334077,0.0000,1.0000
2017-09-28,178.2200,178.9000,177.5800,178.7800,178.7800,397796,0.0000,1.0000
2017-09-27,179.1100,179.9600,177.9700,178.7400,178.7400,419205,0.0000,1.0000
2017-09-26,179.5900,180.2400,178.0300,178.9800,178.9800,627713,0.0000,1.0000
2017-09-25,181.2600,181.2600,179.0200,180.3200,180.3200,390697,0.0000,1.0000
2017-09-22,181.8200,182.0700,179.5700,181.1600,181.1600,394883,0.0000,1.0000
2017-09-21,183.8900,183.8900,181.3100,181.7900,181.7900,346704,0.0000,1.0000
