timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,171.9200,172.0500,166.6600,167.3900,167.3900,1049614,0.0000,1.0000
2018-01-17,169.7800,172.3000,168.5400,171.3800,171.3800,805092,0.0000,1.0000
2018-01-16,173.0000,173.1950,167.6400,168.9500,168.9500,841997,0.0000,1.0000
2018-01-12,169.8100,172.9900,168.4900,172.7500,172.7500,1081757,0.0000,1.0000
2018-01-11,166.8600,168.7150,164.5200,167.3500,167.3500,295445,0.0000,1.0000
2018-01-10,167.0400,167.1150,164.3300,166.2100,166.2100,815125,0.0000,1.0000
2018-01-09,169.5600,169.8300,167.9400,168.3700,168.3700,1032856,0.0000,1.0000
2018-01-08,168.6000,170.4300,167.9050,169.0500,169.0500,872202,0.0000,1.0000
2018-01-05,168.8800,169.3200,167.7300,168.4800,168.4800,534533,0.0000,1.0000
2018-01-04,169.9100,170.2500,168.1000,168.8200,168.8200,617397,0.0000,1.0000
2018-01-03,168.2800,169.5475,167.9000,168.8400,168.8400,951774,0.0000,1.0000
2018-01-02,169.1700,169.9500,167.0000,167.9900,167.9900,650954,0.0000,1.0000
2017-12-29,170.5300,171.6753,168.2550,168.6400,168.6400,395008,0.0000,1.0000
2017-12-28,170.2800,170.7600,169.1600,170.6700,170.6700,263724,0.0000,1.0000
2017-12-27,169.9400,170.8700,169.6400,170.0800,170.0800,325243,0.0000,1.0000
2017-12-26,171.7100,173.2000,169.7700,170.1600,170.1600,469534,0.0000,1.0000
2017-12-22,169.4800,172.3000,169.0300,171.6800,171.6800,705113,0.0000,1.0000
2017-12-21,166.1000,170.7900,165.3400,169.6100,169.6100,1233645,0.0000,1.0000
2017-12-20,166.2000,166.7000,164.7700,164.8800,164.8800,410380,0.0000,1.0000
2017-12-19,165.0200,166.8700,164.7000,166.1000,166.1000,552901,0.0000,1.0000
2017-12-18,165.4600,166.0000,164.7300,165.3600,165.3600,721871,0.0000,1.0000
2017-12-15,164.2600,165.1100,163.2200,164.4900,164.4900,1192877,0.0000,1.0000
2017-12-14,165.6500,167.8750,162.9200,163.9200,163.9200,837113,0.0000,1.0000
2017-12-13,166.9200,168.1870,166.6500,167.0400,167.0400,503534,0.0000,1.0000
2017-12-12,168.6400,168.7900,165.9800,166.5100,166.5100,859136,0.0000,1.0000
2017-12-11,169.3300,169.8600,166.6700,167.8700,167.8700,1036852,0.0000,1.0000
2017-12-08,170.8800,170.8800,168.4700,169.7000,169.7000,558031,0.0000,1.0000
2017-12-07,170.0500,171.2800,169.0100,170.4900,170.4900,742641,0.0000,1.0000
