timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-12,33.0900,33.3800,32.8300,33.0350,33.0350,1585380,0.0000,1.0000
2018-01-11,32.8200,33.1200,32.6000,33.1000,33.1000,5733053,0.0000,1.0000
2018-01-10,32.7500,32.7800,32.4300,32.7500,32.7500,4194552,0.0000,1.0000
2018-01-09,32.6600,32.8700,32.4700,32.7300,32.7300,3864416,0.0000,1.0000
2018-01-08,32.4500,32.5900,32.2600,32.5800,32.5800,5341765,0.0000,1.0000
2018-01-05,32.6000,32.6500,32.0500,32.4600,32.4600,6197216,0.0000,1.0000
2018-01-04,32.0600,32.6050,31.8200,32.5500,32.5500,7296581,0.0000,1.0000
2018-01-03,31.1700,32.0600,31.1400,32.0000,32.0000,8961704,0.0000,1.0000
2018-01-02,30.6700,31.1850,30.5400,31.1400,31.1400,4353106,0.0000,1.0000
2017-12-29,30.5900,30.7200,30.4100,30.4900,30.4900,2905667,0.0000,1.0000
2017-12-28,30.4200,30.5500,30.2800,30.5100,30.5100,2961135,0.0000,1.0000
2017-12-27,30.5500,30.5700,30.2850,30.3900,30.3900,3898345,0.0000,1.0000
2017-12-26,30.4200,30.6900,30.3500,30.4900,30.4900,2420556,0.0000,1.0000
2017-12-22,30.2600,30.4600,30.2200,30.3100,30.3100,4037244,0.0000,1.0000
2017-12-21,30.0400,30.3900,29.9950,30.3200,30.3200,5121543,0.0000,1.0000
2017-12-20,30.0800,30.1500,29.6400,30.0500,30.0500,7743776,0.0000,1.0000
2017-12-19,30.1500,30.3450,30.0300,30.0600,30.0600,4467152,0.0000,1.0000
2017-12-18,29.8450,30.4200,29.8000,30.1400,30.1400,7248978,0.0000,1.0000
2017-12-15,29.9000,30.0000,29.5800,29.7300,29.7300,9027332,0.0000,1.0000
2017-12-14,29.1700,29.8700,29.0400,29.6800,29.6800,6172590,0.0000,1.0000
2017-12-13,29.0400,29.2000,28.8950,29.0600,29.0600,4746327,0.0000,1.0000
2017-12-12,28.9300,29.2750,28.7500,29.0800,29.0800,4870584,0.0000,1.0000
2017-12-11,28.5300,29.0900,28.4200,28.9000,28.9000,6410037,0.0000,1.0000
2017-12-08,28.6000,28.7000,28.2150,28.5500,28.5500,8871927,0.0000,1.0000
2017-12-07,28.3700,28.5500,28.1800,28.4700,28.4700,4845862,0.3000,1.0000
2017-12-06,28.9200,28.9925,28.5500,28.6900,28.3908,4160801,0.0000,1.0000
2017-12-05,29.1600,29.2400,28.9700,29.0700,28.7669,3880295,0.0000,1.0000
2017-12-04,29.3300,29.4900,29.0000,29.0500,28.7471,5967329,0.0000,1.0000
2017-12-01,29.2900,29.6200,29.1160,29.2900,28.9846,6037003,0.0000,1.0000
2017-11-30,28.4700,29.2400,28.3600,29.0500,28.7471,8075506,0.0000,1.0000
2017-11-29,28.3500,28.4900,28.0500,28.3200,28.0247,6372715,0.0000,1.0000
2017-11-28,28.0000,28.4000,27.8100,28.3600,28.0643,8729518,0.0000,1.0000
2017-11-27,28.0000,28.1700,27.7900,27.9800,27.6882,7913018,0.0000,1.0000
2017-11-24,27.8700,28.4200,27.8575,28.0700,27.7773,3377363,0.0000,1.0000
2017-11-22,27.3300,27.8900,27.3200,27.7500,27.4606,4851910,0.0000,1.0000
2017-11-21,27.4400,27.6200,27.1900,27.2400,26.9560,4740992,0.0000,1.0000
2017-11-20,27.2600,27.5000,26.9700,27.3200,27.0351,3586917,0.0000,1.0000
2017-11-17,27.0300,27.3500,26.8188,27.2600,26.9757,4268199,0.0000,1.0000
2017-11-16,27.4700,27.5100,26.9800,27.0200,26.7382,4870723,0.0000,1.0000
2017-11-15,27.5000,27.7250,27.2100,27.5000,27.2132,4447383,0.0000,1.0000
2017-11-14,28.1400,28.1700,27.6650,27.7200,27.4309,5536292,0.0000,1.0000
2017-11-13,28.4900,28.5250,28.1750,28.2300,27.9356,3412273,0.0000,1.0000
2017-11-10,28.6600,28.8450,28.3400,28.6200,28.3216,5924585,0.0000,1.0000
2017-11-09,28.2200,28.9300,28.2200,28.6700,28.3710,4373655,0.0000,1.0000
2017-11-08,28.7400,28.7500,28.2300,28.3800,28.0841,6688679,0.0000,1.0000
2017-11-07,28.6800,28.8200,28.1900,28.7700,28.4700,7929284,0.0000,1.0000
2017-11-06,28.2800,28.8200,28.1900,28.7900,28.4898,4525664,0.0000,1.0000
2017-11-03,28.1300,28.4350,27.9100,28.2600,27.9653,3449761,0.0000,1.0000
2017-11-02,28.5500,28.7800,27.9501,28.1100,27.8169,7207201,0.0000,1.0000
2017-11-01,28.8400,29.1100,28.6900,28.7900,28.4898,6459456,0.0000,1.0000
2017-10-31,28.4300,28.5500,28.2700,28.5000,28.2028,4992146,0.0000,1.0000
2017-10-30,28.7100,28.9700,28.4950,28.5400,28.2424,4167870,0.0000,1.0000
2017-10-27,28.3100,28.8500,28.0950,28.6200,28.3216,6601908,0.0000,1.0000
2017-10-26,28.3400,28.6000,28.1800,28.4100,28.1138,5436661,0.0000,1.0000
2017-10-25,28.7100,28.8100,27.8000,28.3500,28.0544,7929074,0.0000,1.0000
2017-10-24,29.0700,29.0700,28.5800,28.7700,28.4700,4523600,0.0000,1.0000
2017-10-23,29.3000,29.3500,28.7900,28.8400,28.5393,4585190,0.0000,1.0000
2017-10-20,29.7100,29.7200,29.2600,29.3300,29.0242,3630298,0.0000,1.0000
2017-10-19,29.5200,29.7500,29.3100,29.6000,29.2913,3746681,0.0000,1.0000
2017-10-18,29.9300,30.0800,29.4700,29.6900,29.3804,4726970,0.0000,1.0000
2017-10-17,29.8500,29.9600,29.7550,29.9200,29.6080,2575111,0.0000,1.0000
2017-10-16,29.9800,30.0700,29.8600,29.9400,29.6278,2074798,0.0000,1.0000
2017-10-13,30.3800,30.3900,29.8550,29.8700,29.5585,3709281,0.0000,1.0000
2017-10-12,29.9400,30.3000,29.9400,30.1700,29.8554,2546357,0.0000,1.0000
2017-10-11,30.0600,30.1800,29.9600,30.1600,29.8455,2944240,0.0000,1.0000
2017-10-10,30.2600,30.3750,29.9250,30.0300,29.7169,3214229,0.0000,1.0000
2017-10-09,30.1400,30.2700,30.0300,30.0600,29.7465,2094889,0.0000,1.0000
2017-10-06,30.1600,30.3100,29.9300,30.1100,29.7960,2649078,0.0000,1.0000
2017-10-05,30.0800,30.4000,29.9500,30.3400,30.0236,2621853,0.0000,1.0000
2017-10-04,30.2800,30.3300,29.9450,30.0400,29.7268,3491532,0.0000,1.0000
2017-10-03,30.0400,30.3800,29.9050,30.2900,29.9742,3965625,0.0000,1.0000
2017-10-02,29.8400,30.2200,29.7500,30.0500,29.7367,2814488,0.0000,1.0000
2017-09-29,29.8600,30.0800,29.8400,30.0100,29.6971,2978832,0.0000,1.0000
2017-09-28,29.9400,30.0000,29.7100,30.0000,29.6872,3267478,0.0000,1.0000
2017-09-27,30.3100,30.3450,29.9050,29.9800,29.6674,3494430,0.0000,1.0000
2017-09-26,30.5000,30.6400,30.2200,30.2300,29.9148,6026585,0.0000,1.0000
2017-09-25,30.0900,30.7550,30.0800,30.5900,30.2710,5939021,0.0000,1.0000
2017-09-22,29.9900,30.0950,29.7700,30.0000,29.6872,2855482,0.0000,1.0000
2017-09-21,30.3400,30.4100,29.7900,29.9900,29.6773,4168856,0.0000,1.0000
2017-09-20,30.5200,30.7400,30.3300,30.3900,30.0731,5111810,0.0000,1.0000
2017-09-19,30.6400,30.7550,30.4800,30.5000,30.1820,3949919,0.0000,1.0000
2017-09-18,30.2500,30.6050,30.1800,30.5800,30.2611,6099890,0.0000,1.0000
2017-09-15,30.5500,30.5900,30.2000,30.3000,29.9840,6429205,0.0000,1.0000
2017-09-14,30.4100,30.7800,30.3000,30.4100,30.0929,6581225,0.0000,1.0000
2017-09-13,30.3300,30.4900,30.2100,30.4200,30.1028,3074535,0.0000,1.0000
2017-09-12,30.2600,30.5100,30.1300,30.2100,29.8950,3198436,0.0000,1.0000
2017-09-11,29.7400,30.4100,29.7100,30.2500,29.9346,4776047,0.0000,1.0000
2017-09-08,29.7100,29.9300,29.5500,29.6900,29.3804,3272047,0.0000,1.0000
2017-09-07,29.8400,29.9900,29.6250,29.8100,29.4992,2890382,0.3000,1.0000
2017-09-06,30.2300,30.5200,30.0800,30.1100,29.4992,5838962,0.0000,1.0000
2017-09-05,30.1700,30.3400,29.9200,30.1500,29.5383,3702041,0.0000,1.0000
2017-09-01,29.8100,30.2200,29.6350,30.0600,29.4502,4309674,0.0000,1.0000
2017-08-31,29.2100,29.7900,29.1000,29.7300,29.1269,3746479,0.0000,1.0000
2017-08-30,29.1000,29.2400,28.9500,29.1300,28.5390,2932435,0.0000,1.0000
2017-08-29,28.9500,29.2250,28.7950,29.1700,28.5782,2918204,0.0000,1.0000
2017-08-28,29.4500,29.4900,28.9200,29.1700,28.5782,2996160,0.0000,1.0000
2017-08-25,29.5500,29.5900,29.3900,29.3900,28.7938,3668403,0.0000,1.0000
2017-08-24,29.4300,29.6300,29.4050,29.4700,28.8721,2172214,0.0000,1.0000
2017-08-23,29.4000,29.8100,29.4000,29.4900,28.8917,4655026,0.0000,1.0000
2017-08-22,29.1200,29.6300,29.1000,29.5000,28.9015,2905533,0.0000,1.0000
2017-08-21,29.0400,29.1300,28.8350,29.0100,28.4215,5193699,0.0000,1.0000
2017-08-18,29.0900,29.2100,28.7600,29.0700,28.4803,4820825,0.0000,1.0000
2017-08-17,29.4400,29.7050,29.0600,29.0800,28.4901,3381159,0.0000,1.0000
2017-08-16,30.0000,30.0200,29.4350,29.6200,29.0191,3469211,0.0000,1.0000
2017-08-15,30.0200,30.1550,29.7400,29.9700,29.3620,6750031,0.0000,1.0000
2017-08-14,30.2100,30.6500,30.0200,30.1100,29.4992,3849582,0.0000,1.0000
2017-08-11,30.0500,30.2500,29.9600,30.0800,29.4698,2391778,0.0000,1.0000
2017-08-10,30.6400,30.7300,30.0100,30.0500,29.4404,3274247,0.0000,1.0000
2017-08-09,30.5300,30.9250,30.4500,30.6300,30.0086,3511450,0.0000,1.0000
2017-08-08,30.9100,31.1100,30.3900,30.4900,29.8714,5710402,0.0000,1.0000
2017-08-07,30.8900,31.0600,30.6500,31.0200,30.3907,5057252,0.0000,1.0000
2017-08-04,31.1300,31.2593,30.9100,30.9800,30.3515,4362331,0.0000,1.0000
2017-08-03,30.7300,31.4900,30.5000,31.0600,30.4299,4999161,0.0000,1.0000
2017-08-02,31.5000,31.7350,31.3700,31.6400,30.9981,3942208,0.0000,1.0000
2017-08-01,31.1300,31.2593,30.9100,30.9800,30.3515,5474795,0.0000,1.0000
2017-07-31,32.0000,32.0700,31.5800,31.7800,31.1353,3344877,0.0000,1.0000
2017-07-28,31.9200,32.1800,31.8700,31.9900,31.3410,3462067,0.0000,1.0000
2017-07-27,31.5600,32.0150,31.5200,31.9800,31.3312,4367197,0.0000,1.0000
2017-07-26,31.7300,32.0700,31.5500,31.6100,30.9687,4637847,0.0000,1.0000
2017-07-25,31.9700,32.1400,31.5900,31.6000,30.9589,4706948,0.0000,1.0000
2017-07-24,31.5300,31.7700,31.5300,31.6700,31.0275,4364087,0.0000,1.0000
2017-07-21,31.4400,31.6500,31.2900,31.4500,30.8120,5748117,0.0000,1.0000
2017-07-20,31.4700,31.8550,31.2550,31.4300,30.7924,5593911,0.0000,1.0000
2017-07-19,31.1500,31.3400,30.9600,31.2500,30.6160,5825626,0.0000,1.0000
2017-07-18,31.6400,31.7600,31.1400,31.1500,30.5181,4522174,0.0000,1.0000
2017-07-17,31.4000,31.6200,31.3400,31.4400,30.8022,2592651,0.0000,1.0000
2017-07-14,31.1200,31.6300,31.1100,31.4300,30.7924,4439296,0.0000,1.0000
