timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,101.1500,102.9400,100.7000,102.7000,102.7000,8680791,0.0000,1.0000
2018-01-16,101.3400,101.9100,100.3400,100.6900,100.6900,6533775,0.0000,1.0000
2018-01-12,100.3900,101.4400,100.3000,100.8700,100.8700,6948125,0.0000,1.0000
2018-01-11,99.7000,100.0500,98.7800,100.0200,100.0200,2820508,0.0000,1.0000
2018-01-10,99.7500,99.8900,98.5300,99.6700,99.6700,7615940,0.0000,1.0000
2018-01-09,102.0300,102.3500,100.3100,100.3900,100.3900,7296463,0.0000,1.0000
2018-01-08,100.2500,101.7500,100.2100,101.6100,101.6100,8277421,0.0000,1.0000
2018-01-05,99.6400,100.3800,99.6100,100.1300,100.1300,7202992,0.0000,1.0000
2018-01-04,99.5400,99.7800,98.9110,99.5400,99.5400,6805321,0.0000,1.0000
2018-01-03,98.8500,100.0000,98.7700,99.4500,99.4500,8898909,0.0000,1.0000
2018-01-02,99.3000,99.7900,98.5200,98.5900,98.5900,10065263,0.0000,1.0000
2017-12-29,99.4000,99.6900,98.7500,98.7500,98.7500,7118956,0.0000,1.0000
2017-12-28,99.5200,99.6200,99.1200,99.4000,99.4000,9473104,0.0000,1.0000
2017-12-27,99.5600,99.6000,98.8299,99.2600,99.2600,4847733,0.0000,1.0000
2017-12-26,98.3500,99.4400,98.3500,99.1600,99.1600,4291767,0.0000,1.0000
2017-12-22,98.1400,98.4200,97.6800,98.2100,98.2100,4873537,0.0000,1.0000
2017-12-21,99.3200,99.3300,97.9800,98.0600,98.0600,6941433,0.0000,1.0000
2017-12-20,99.4800,99.6500,98.4500,98.7500,98.7500,9239719,0.0000,1.0000
2017-12-19,99.7800,99.9100,98.2900,98.8000,98.8000,11995374,0.0000,1.0000
2017-12-18,97.4400,98.1700,97.3600,97.9000,97.9000,7887090,0.0000,1.0000
2017-12-15,98.0400,98.4900,96.9100,97.1100,97.1100,15611141,0.0000,1.0000
2017-12-14,98.4150,98.5700,97.1000,97.1300,97.1300,8757209,0.0000,1.0000
2017-12-13,96.6600,97.9100,96.5500,97.7600,97.7600,7768080,0.0000,1.0000
2017-12-12,96.8500,97.2400,96.6000,96.7000,96.7000,7519437,0.0000,1.0000
2017-12-11,96.4400,97.2700,96.2900,96.9300,96.9300,8806887,0.0000,1.0000
2017-12-08,96.6700,96.7000,96.1380,96.5500,96.5500,5753261,0.0000,1.0000
2017-12-07,97.0600,97.5800,96.6500,96.7800,96.7800,7455739,0.5100,1.0000
2017-12-06,97.9900,98.1400,97.2401,97.2800,96.7701,7135744,0.0000,1.0000
2017-12-05,97.0000,97.9400,96.9200,97.8300,97.3172,8905136,0.0000,1.0000
2017-12-04,97.7300,97.9600,96.6750,97.0100,96.5015,8925863,0.0000,1.0000
2017-12-01,97.6100,97.7100,96.2300,97.3500,96.8397,8175312,0.0000,1.0000
2017-11-30,98.0900,98.4400,96.5100,97.2300,96.7203,12001448,0.0000,1.0000
2017-11-29,97.2200,98.2600,96.8800,97.5600,97.0486,11322772,0.0000,1.0000
2017-11-28,96.5900,96.8850,95.8200,96.7700,96.2627,8401484,0.0000,1.0000
2017-11-27,96.8500,97.6500,96.3000,96.6200,96.1135,8843130,0.0000,1.0000
2017-11-24,96.8700,97.2300,96.5300,96.6200,96.1135,4494882,0.0000,1.0000
2017-11-22,96.6500,96.8099,96.1100,96.4100,95.9046,8901069,0.0000,1.0000
2017-11-21,97.7400,97.9200,96.3200,96.5200,96.0140,12655995,0.0000,1.0000
2017-11-20,96.4400,97.6400,95.7600,97.4800,96.9690,16343941,0.0000,1.0000
2017-11-17,99.2400,100.1300,96.5800,97.4700,96.9591,23508897,0.0000,1.0000
2017-11-16,95.1200,99.6800,94.7200,99.6200,99.0978,37814854,0.0000,1.0000
2017-11-15,90.3400,90.8500,89.6500,89.8300,89.3591,8129347,0.0000,1.0000
2017-11-14,90.7000,91.2000,90.1800,91.0900,90.6125,9664518,0.0000,1.0000
2017-11-13,91.0400,91.9800,90.8700,90.9900,90.5130,8404028,0.0000,1.0000
2017-11-10,90.2400,91.6900,90.2000,90.9200,90.4434,7281369,0.0000,1.0000
2017-11-09,89.9400,90.5700,89.3500,90.3000,89.8266,6713028,0.0000,1.0000
2017-11-08,89.1100,90.4200,89.1000,90.2600,89.7869,6767543,0.0000,1.0000
2017-11-07,88.8700,89.0600,88.3100,88.9500,88.4837,5232777,0.0000,1.0000
2017-11-06,89.4200,89.6800,88.6800,88.7000,88.2350,5104565,0.0000,1.0000
2017-11-03,89.0200,89.8800,88.7600,89.6800,89.2099,6346181,0.0000,1.0000
2017-11-02,88.2800,89.1652,87.8000,88.8000,88.3345,5168991,0.0000,1.0000
2017-11-01,87.0700,88.3950,87.0000,87.9400,87.4790,6150299,0.0000,1.0000
2017-10-31,86.8600,87.4600,86.6000,87.3100,86.8523,5829335,0.0000,1.0000
2017-10-30,87.9400,87.9500,86.3910,86.9500,86.4942,6698534,0.0000,1.0000
2017-10-27,88.1400,88.3900,87.1500,88.1700,87.7078,6498985,0.0000,1.0000
2017-10-26,88.6600,89.1100,88.0200,88.6200,88.1554,6422503,0.0000,1.0000
2017-10-25,87.8500,88.6000,87.4300,88.4900,88.0261,5180021,0.0000,1.0000
2017-10-24,88.6900,88.8000,87.9100,87.9800,87.5188,7524072,0.0000,1.0000
2017-10-23,87.3400,88.9200,87.2600,88.6500,88.1853,10569159,0.0000,1.0000
2017-10-20,86.6000,87.4500,86.2800,87.4400,86.9816,8223788,0.0000,1.0000
2017-10-19,86.1500,86.6600,85.7659,86.4000,85.9471,6530617,0.0000,1.0000
2017-10-18,86.1500,86.3682,86.0100,86.2200,85.7680,5367364,0.0000,1.0000
2017-10-17,85.5000,86.3555,85.3210,85.9800,85.5293,5828161,0.0000,1.0000
2017-10-16,86.5800,86.6200,85.0200,85.7400,85.2905,9294278,0.0000,1.0000
2017-10-13,86.2400,86.9500,86.2400,86.6200,86.1659,9382031,0.0000,1.0000
2017-10-12,85.7000,86.3700,85.0600,86.1000,85.6487,12430103,0.0000,1.0000
2017-10-11,84.5800,86.2900,84.1000,85.7300,85.2806,18445058,0.0000,1.0000
