timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,69.1900,69.5000,68.7500,69.2700,69.2700,1432565,0.0000,1.0000
2018-01-16,69.4100,69.9700,68.3900,68.6900,68.6900,1473262,0.0000,1.0000
2018-01-12,68.7100,69.2900,68.1100,69.2000,69.2000,1580890,0.0000,1.0000
2018-01-11,67.7400,68.2290,67.2200,68.0300,68.0300,411782,0.0000,1.0000
2018-01-10,67.5200,67.7200,67.0500,67.4100,67.4100,1378374,0.0000,1.0000
2018-01-09,67.5800,68.1000,67.2600,67.4000,67.4000,2236572,0.0000,1.0000
2018-01-08,67.3900,68.2900,67.1300,67.7600,67.7600,2040089,0.0000,1.0000
2018-01-05,67.2500,67.8200,66.8400,67.3100,67.3100,1959475,0.0000,1.0000
2018-01-04,65.6800,67.2400,65.5000,67.0400,67.0400,2195223,0.0000,1.0000
2018-01-03,64.9600,66.0000,64.7500,65.4000,65.4000,2139103,0.0000,1.0000
2018-01-02,63.6500,64.8000,63.4100,64.7100,64.7100,2235165,0.0000,1.0000
2017-12-29,63.3000,63.6600,62.8500,63.2100,63.2100,1140307,0.0000,1.0000
2017-12-28,63.2300,63.2700,62.7400,63.2000,63.2000,1156459,0.0000,1.0000
2017-12-27,63.3000,63.4900,62.9600,63.0800,63.0800,807847,0.0000,1.0000
2017-12-26,63.8400,64.1400,63.1500,63.2500,63.2500,664618,0.0000,1.0000
2017-12-22,63.6850,63.9625,63.1600,63.7300,63.7300,867980,0.0000,1.0000
2017-12-21,63.8900,64.2400,63.7400,63.8400,63.8400,921367,0.0000,1.0000
2017-12-20,63.5600,63.8300,63.1000,63.7300,63.7300,1144273,0.0000,1.0000
2017-12-19,64.0500,64.1900,63.1500,63.4000,63.4000,1409529,0.0000,1.0000
2017-12-18,63.7000,64.0900,63.5000,63.8600,63.8600,1405850,0.0000,1.0000
2017-12-15,64.0000,64.1000,62.6400,63.1100,63.1100,4840131,0.0000,1.0000
2017-12-14,64.4100,64.6200,62.5500,62.5500,62.5500,2111817,0.0000,1.0000
2017-12-13,64.0000,64.4800,63.9500,64.3000,64.3000,1514657,0.0000,1.0000
2017-12-12,64.6600,64.8700,63.8000,63.9400,63.9400,1503187,0.0000,1.0000
2017-12-11,64.4500,64.7400,63.9700,64.4200,64.4200,2138603,0.0000,1.0000
2017-12-08,64.0000,64.7600,63.7050,64.4200,64.4200,1665698,0.0000,1.0000
