timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,34.8700,35.0148,34.5700,34.9000,34.9000,1470153,0.0000,1.0000
2018-01-10,35.2200,35.2200,34.5800,34.8300,34.8300,4519691,0.0000,1.0000
2018-01-09,35.5600,35.5600,35.2000,35.2600,35.2600,2518246,0.0000,1.0000
2018-01-08,35.3000,35.5800,35.2700,35.5000,35.5000,2603894,0.0000,1.0000
2018-01-05,35.3900,35.5800,35.2200,35.2700,35.2700,2910602,0.0000,1.0000
2018-01-04,35.7000,35.7000,35.2900,35.3200,35.3200,2719666,0.0000,1.0000
2018-01-03,35.2300,35.6700,35.2300,35.6100,35.6100,2766297,0.0000,1.0000
2018-01-02,35.3000,35.3500,34.9100,35.3000,35.3000,2881683,0.0000,1.0000
2017-12-29,35.3500,35.5000,35.0900,35.2600,35.2600,2249356,0.0000,1.0000
2017-12-28,35.1000,35.3000,34.9500,35.2600,35.2600,1524904,0.0000,1.0000
2017-12-27,35.1000,35.2500,34.9900,35.1000,35.1000,1950491,0.0000,1.0000
2017-12-26,34.9600,35.1700,34.9200,35.0600,35.0600,1689090,0.0000,1.0000
2017-12-22,35.2100,35.3500,34.7000,34.9400,34.9400,2859504,0.0000,1.0000
2017-12-21,35.5000,35.5900,35.1500,35.2100,35.2100,2698804,0.0000,1.0000
2017-12-20,35.8700,35.9300,35.4000,35.4200,35.4200,2564562,0.0000,1.0000
2017-12-19,35.9800,36.1200,35.4300,35.4800,35.4800,2026746,0.0000,1.0000
2017-12-18,36.0700,36.2500,35.8800,36.0100,36.0100,2659261,0.0000,1.0000
2017-12-15,35.9100,36.1200,35.7800,35.8400,35.8400,4293832,0.0000,1.0000
2017-12-14,35.9600,36.0500,35.6400,35.6500,35.6500,2265104,0.0000,1.0000
2017-12-13,35.7500,36.1600,35.5900,35.7600,35.7600,2545192,0.0000,1.0000
2017-12-12,35.8700,35.9300,35.5800,35.6300,35.6300,3227641,0.0000,1.0000
2017-12-11,35.3700,35.4800,35.0500,35.4400,35.4400,2110606,0.0000,1.0000
2017-12-08,35.7100,35.7500,35.3400,35.4300,35.4300,2248811,0.0000,1.0000
2017-12-07,35.2500,35.6500,35.1800,35.6200,35.6200,1786477,0.0000,1.0000
2017-12-06,35.2400,35.3900,35.0400,35.2400,35.2400,1962567,0.0000,1.0000
2017-12-05,35.1900,35.4400,35.0500,35.1900,35.1900,1867572,0.0000,1.0000
2017-12-04,35.6300,35.7600,34.9600,35.1300,35.1300,3896899,0.0000,1.0000
2017-12-01,35.5500,35.5659,34.8100,35.4000,35.4000,2805636,0.0000,1.0000
2017-11-30,35.2600,35.7400,35.0100,35.3800,35.3800,3921533,0.3200,1.0000
2017-11-29,35.6400,35.6800,35.2100,35.3700,35.0530,2818449,0.0000,1.0000
2017-11-28,35.7700,36.0600,35.6600,35.6800,35.3602,2414923,0.0000,1.0000
2017-11-27,36.2900,36.3100,35.4900,35.5300,35.2115,3625859,0.0000,1.0000
2017-11-24,36.2400,36.5000,36.1100,36.1700,35.8458,709620,0.0000,1.0000
2017-11-22,36.1100,36.3000,36.0800,36.1900,35.8656,1269393,0.0000,1.0000
2017-11-21,36.2000,36.2700,36.0000,36.1100,35.7863,2825148,0.0000,1.0000
2017-11-20,36.3400,36.5200,36.0900,36.1100,35.7863,2275813,0.0000,1.0000
2017-11-17,36.3500,36.6200,36.2800,36.2800,35.9548,2395746,0.0000,1.0000
2017-11-16,36.6400,36.9200,36.3500,36.5500,36.2224,2926534,0.0000,1.0000
2017-11-15,36.0500,36.6800,35.9100,36.5500,36.2224,3999455,0.0000,1.0000
2017-11-14,35.7500,36.2500,35.5500,36.2000,35.8755,2370085,0.0000,1.0000
2017-11-13,36.1200,36.4700,35.9000,35.9600,35.6377,2375829,0.0000,1.0000
2017-11-10,36.2000,36.4800,36.0900,36.1400,35.8161,3026428,0.0000,1.0000
2017-11-09,36.2700,36.3400,35.9300,36.2700,35.9449,1885932,0.0000,1.0000
2017-11-08,35.9400,36.4800,35.9100,36.4100,36.0836,4026503,0.0000,1.0000
2017-11-07,35.6900,35.9900,35.6500,35.9900,35.6674,2287434,0.0000,1.0000
2017-11-06,35.6700,35.7700,35.4900,35.6600,35.3404,2206898,0.0000,1.0000
2017-11-03,35.4600,35.8600,35.3100,35.7100,35.3899,2420188,0.0000,1.0000
2017-11-02,35.9400,36.3000,35.5000,35.6100,35.2908,4947834,0.0000,1.0000
2017-11-01,36.0000,36.3000,35.6900,35.8100,35.4890,3465398,0.0000,1.0000
2017-10-31,35.6300,36.0000,35.5300,35.9100,35.5881,3367337,0.0000,1.0000
2017-10-30,35.6100,35.6900,35.3800,35.6100,35.2908,2956249,0.0000,1.0000
2017-10-27,34.7800,35.8880,34.7600,35.5100,35.1917,4281730,0.0000,1.0000
2017-10-26,34.8500,35.1200,34.7300,34.8800,34.5674,3212793,0.0000,1.0000
2017-10-25,34.7400,34.8100,34.4500,34.6800,34.3691,1814737,0.0000,1.0000
2017-10-24,34.9200,35.0000,34.6900,34.8700,34.5574,2528278,0.0000,1.0000
2017-10-23,35.4000,35.4800,34.8200,34.8200,34.5079,2686394,0.0000,1.0000
2017-10-20,35.2900,35.4700,35.1500,35.2800,34.9638,1937379,0.0000,1.0000
2017-10-19,35.1500,35.2600,34.8950,35.1800,34.8647,2489219,0.0000,1.0000
2017-10-18,35.0300,35.3800,34.9900,35.2300,34.9142,2933377,0.0000,1.0000
2017-10-17,34.9500,35.0600,34.8200,35.0300,34.7160,1641068,0.0000,1.0000
2017-10-16,34.8700,35.1700,34.7433,35.0200,34.7061,3119508,0.0000,1.0000
2017-10-13,34.6600,35.0000,34.4900,34.9000,34.5872,2423664,0.0000,1.0000
2017-10-12,34.3200,34.6500,34.1400,34.5900,34.2799,1901217,0.0000,1.0000
2017-10-11,34.3500,34.4900,34.2900,34.3900,34.0817,1692438,0.0000,1.0000
2017-10-10,34.1900,34.4300,34.0800,34.3200,34.0124,2043202,0.0000,1.0000
2017-10-09,34.1600,34.2900,33.9300,34.1200,33.8142,1626859,0.0000,1.0000
2017-10-06,34.1000,34.2000,33.9200,34.2000,33.8934,1698829,0.0000,1.0000
2017-10-05,34.3400,34.4900,34.1200,34.2200,33.9133,2688834,0.0000,1.0000
2017-10-04,34.0700,34.3400,34.0700,34.3200,34.0124,1302668,0.0000,1.0000
2017-10-03,34.1100,34.3000,34.0500,34.1200,33.8142,1445761,0.0000,1.0000
2017-10-02,34.0600,34.2800,33.9850,34.1200,33.8142,1935773,0.0000,1.0000
2017-09-29,34.0000,34.1950,33.8700,34.0300,33.7250,2588223,0.0000,1.0000
2017-09-28,33.7200,34.0500,33.6150,34.0100,33.7051,1613981,0.0000,1.0000
2017-09-27,33.7200,33.8300,33.4150,33.8000,33.4970,2092173,0.0000,1.0000
2017-09-26,33.8000,33.8800,33.6700,33.7200,33.4177,2484575,0.0000,1.0000
2017-09-25,33.5700,33.8900,33.5100,33.8100,33.5069,2637779,0.0000,1.0000
2017-09-22,33.4300,33.6500,33.2800,33.5800,33.2790,2526675,0.0000,1.0000
2017-09-21,33.3900,33.5950,33.0500,33.4200,33.1204,3213243,0.0000,1.0000
2017-09-20,33.4300,33.7000,33.3200,33.4000,33.1006,2324576,0.0000,1.0000
2017-09-19,33.3900,33.4500,33.1800,33.2800,32.9817,2805438,0.0000,1.0000
2017-09-18,32.9300,33.4400,32.9300,33.3700,33.0709,3764442,0.0000,1.0000
2017-09-15,33.0400,33.1100,32.8500,32.9900,32.6943,3954213,0.0000,1.0000
2017-09-14,33.0400,33.2000,32.9100,33.0600,32.7637,1936744,0.0000,1.0000
2017-09-13,33.2200,33.3300,32.9700,33.1000,32.8033,3045199,0.0000,1.0000
2017-09-12,33.4000,33.4000,32.7300,33.2400,32.9421,2915277,0.0000,1.0000
2017-09-11,33.8400,33.8600,33.0200,33.3300,33.0312,3516103,0.0000,1.0000
2017-09-08,33.1900,33.7298,33.1300,33.5800,33.2790,4340074,0.0000,1.0000
2017-09-07,33.1300,33.4050,33.0801,33.1500,32.8529,3278387,0.3100,1.0000
2017-09-06,32.6300,33.3890,32.5200,33.2300,32.6270,5002101,0.0000,1.0000
2017-09-05,32.1100,32.4450,31.8300,32.3000,31.7139,3274342,0.0000,1.0000
2017-09-01,32.7000,32.7000,32.0300,32.0700,31.4881,2566553,0.0000,1.0000
2017-08-31,32.0400,32.7150,31.8971,32.6100,32.0183,4472199,0.0000,1.0000
2017-08-30,31.4900,31.7800,31.3500,31.7500,31.1739,2410932,0.0000,1.0000
2017-08-29,31.7500,32.0000,31.4850,31.5200,30.9481,3129331,0.0000,1.0000
2017-08-28,31.7900,31.8900,31.5400,31.7700,31.1935,1955264,0.0000,1.0000
2017-08-25,31.5600,31.9800,31.5100,31.7000,31.1248,2884004,0.0000,1.0000
2017-08-24,31.3900,31.9900,31.2900,31.3800,30.8106,1524150,0.0000,1.0000
2017-08-23,31.2700,31.4990,31.2000,31.3600,30.7910,1376114,0.0000,1.0000
2017-08-22,31.5000,31.7700,31.2900,31.3800,30.8106,2170058,0.0000,1.0000
2017-08-21,31.2200,31.5200,31.1600,31.4800,30.9088,2161885,0.0000,1.0000
2017-08-18,31.1900,31.3850,30.9504,31.1700,30.6044,2728509,0.0000,1.0000
2017-08-17,31.8800,32.0300,31.2650,31.2800,30.7124,3123521,0.0000,1.0000
2017-08-16,32.1000,32.2300,31.8700,31.9100,31.3310,1963575,0.0000,1.0000
2017-08-15,32.2700,32.3281,31.7300,31.9400,31.3604,2379764,0.0000,1.0000
2017-08-14,32.1600,32.5093,32.0800,32.2400,31.6550,2940305,0.0000,1.0000
2017-08-11,32.0700,32.3600,32.0000,32.2200,31.6354,2027551,0.0000,1.0000
2017-08-10,32.3600,32.4100,32.0640,32.1200,31.5372,1927346,0.0000,1.0000
2017-08-09,32.4100,32.6200,32.2100,32.4300,31.8415,1377214,0.0000,1.0000
2017-08-08,32.6300,32.7200,32.3500,32.4600,31.8710,1870234,0.0000,1.0000
2017-08-07,32.7900,32.8200,32.5600,32.7200,32.1263,1515859,0.0000,1.0000
2017-08-04,32.9000,32.9500,32.6700,32.7800,32.1852,1848070,0.0000,1.0000
2017-08-03,32.3200,32.9400,32.2600,32.8600,32.2637,2721577,0.0000,1.0000
2017-08-02,33.1300,33.2500,32.2500,32.3700,31.7826,3138871,0.0000,1.0000
2017-08-01,33.0800,33.2900,32.9300,33.2200,32.6172,3057728,0.0000,1.0000
2017-07-31,32.8000,33.0450,32.6850,33.0200,32.4208,7483272,0.0000,1.0000
2017-07-28,34.2600,34.2600,32.8500,32.9400,32.3423,4424761,0.0000,1.0000
2017-07-27,33.9100,34.3500,33.6400,34.2300,33.6089,3926864,0.0000,1.0000
2017-07-26,34.1400,34.2300,33.8300,33.9200,33.3045,2672720,0.0000,1.0000
2017-07-25,34.2600,34.2600,33.8700,34.1200,33.5009,2484261,0.0000,1.0000
2017-07-24,34.4300,34.4500,34.0600,34.1300,33.5107,2797592,0.0000,1.0000
2017-07-21,33.9400,34.4600,33.9100,34.4300,33.8053,2853734,0.0000,1.0000
2017-07-20,33.8800,34.3400,33.8400,34.0000,33.3831,3158358,0.0000,1.0000
2017-07-19,33.1900,33.8500,33.1900,33.8200,33.2063,2184695,0.0000,1.0000
2017-07-18,33.3200,33.4400,33.0200,33.0800,32.4798,1982158,0.0000,1.0000
2017-07-17,33.2100,33.4500,33.0300,33.4000,32.7939,1749088,0.0000,1.0000
2017-07-14,32.7200,33.2299,32.6600,33.1500,32.5485,2156216,0.0000,1.0000
2017-07-13,32.9900,33.0500,32.5750,32.7200,32.1263,2638198,0.0000,1.0000
2017-07-12,32.6100,33.0300,32.6100,32.9300,32.3325,3712017,0.0000,1.0000
2017-07-11,32.2500,32.5700,32.2100,32.5100,31.9201,4154920,0.0000,1.0000
2017-07-10,31.8300,32.3300,31.8000,32.2200,31.6354,3870603,0.0000,1.0000
2017-07-07,32.0300,32.2800,31.9100,32.0100,31.4292,3021004,0.0000,1.0000
2017-07-06,33.0500,33.1000,32.0310,32.0600,31.4783,12168912,0.0000,1.0000
2017-07-05,33.4900,33.5189,32.9750,33.2100,32.6074,2415366,0.0000,1.0000
2017-07-03,33.6300,33.9100,33.5700,33.6900,33.0787,1513985,0.0000,1.0000
2017-06-30,33.2000,33.6300,33.0515,33.5000,32.8921,3040067,0.0000,1.0000
2017-06-29,33.2400,33.4100,33.0300,33.0700,32.4699,3036511,0.0000,1.0000
2017-06-28,33.0200,33.2650,32.7700,33.2000,32.5976,1652328,0.0000,1.0000
2017-06-27,33.6800,33.7450,32.8300,32.8500,32.2539,3806466,0.0000,1.0000
2017-06-26,34.2400,34.2400,33.6200,33.6300,33.0198,3093524,0.0000,1.0000
2017-06-23,34.0000,34.3000,33.9100,34.1400,33.5205,5094809,0.0000,1.0000
2017-06-22,33.7800,34.0700,33.5200,33.9400,33.3241,1884779,0.0000,1.0000
2017-06-21,34.0000,34.0500,33.6250,33.7600,33.1474,2686522,0.0000,1.0000
